規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,515515,496229,452448,43781,19286,124617,123222,115844,7378,1395
100～499人,410045,396662,363972,32690,13383,120447,119023,113067,5956,1424
100人以上,460875,444647,406612,38035,16228,121903,120489,114036,6453,1414
30～99人,365528,358914,333754,25160,6614,104344,103965,100612,3353,379
５～29人,362354,343249,326416,16833,19105,91618,90753,88092,2661,865
30人以上,430491,417327,383394,33933,13164,114004,113056,107997,5059,948
５人以上,413596,398959,369266,29693,14637,103025,102117,98234,3883,908
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年８月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
