規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1242989,495378,452725,42653,747611,135480,121174,113987,7187,14306
100～499人,848932,403147,367934,35213,445785,128570,118416,112019,6397,10154
100人以上,1038822,447592,408794,38798,591230,131043,119403,112724,6679,11640
30～99人,616294,358410,332873,25537,257884,114711,106222,102693,3529,8489
５～29人,484367,342599,325409,17190,141768,95989,93786,91260,2526,2203
30人以上,904210,419180,384607,34573,485030,123740,113509,108238,5271,10231
５人以上,799079,400004,369784,30220,399075,110486,104089,100129,3960,6397
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年６月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
