規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.2,152.1,136.2,15.9,12.8,80,76,4
100～499人,18.4,155.7,139.6,16.1,13.6,85.5,81.7,3.8
100人以上,18.3,154,138,16,13.3,83.5,79.6,3.9
30～99人,19.4,166,150,16,14.5,84.1,81.6,2.5
５～29人,20.2,167,155.5,11.5,12.9,77.2,74.7,2.5
30人以上,18.7,157.8,141.8,16,13.9,83.8,80.5,3.3
５人以上,19.1,160.1,145.2,14.9,13.4,80.6,77.7,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年２月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
