規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,478939,567626,322081,452769,536300,305031,417228,35541,26170,31326,17050
100～499人,390227,465531,266099,349855,414360,243529,323016,26839,40372,51171,22570
100人以上,431359,513529,291439,397572,471688,271367,366698,30874,33787,41841,20072
30～99人,318344,383232,226124,308305,370861,219400,287293,21012,10039,12371,6724
５～29人,252591,317545,175464,248302,312117,172528,236528,11774,4289,5428,2936
30人以上,392792,471113,267507,367109,438865,252326,339601,27508,25683,32248,15181
５人以上,349959,428180,235907,330812,403430,224930,308110,22702,19147,24750,10977
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年９月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
