規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.4,18.7,18.1,150.2,155.9,140.4,136,139.5,129.9,14.2,16.4,10.5
100～499人,18.1,18.5,17.4,147.2,156.4,131.7,133.7,140,123.1,13.5,16.4,8.6
100人以上,18.3,18.6,17.7,148.6,156.2,135.6,134.8,139.8,126.2,13.8,16.4,9.4
30～99人,17.9,18.6,16.9,143.7,157.4,124.2,131.3,141,117.5,12.4,16.4,6.7
５～29人,17.2,18.3,15.8,131.3,147.8,111.5,123.4,137.1,107,7.9,10.7,4.5
30人以上,18.1,18.6,17.4,146.9,156.6,131.4,133.6,140.2,123,13.3,16.4,8.4
５人以上,17.8,18.5,16.9,142.2,154.1,124.6,130.5,139.3,117.5,11.7,14.8,7.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年８月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
