規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,501439,592369,333396,456911,539315,304625,418427,38484,44528,53054,28771
100～499人,390637,466356,261153,354607,420502,241922,323346,31261,36030,45854,19231
100人以上,442004,525649,293753,402034,476407,270217,367424,34610,39970,49242,23536
30～99人,327741,396661,228782,299350,358229,214809,276777,22573,28391,38432,13973
５～29人,263197,331756,183068,250647,314180,176392,237887,12760,12550,17576,6676
30人以上,402862,483791,269567,366859,438057,249591,336372,30487,36003,45734,19976
５人以上,360385,442043,239476,331515,404041,224127,306420,25095,28870,38002,15349
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年３月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
