規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,499559,590940,332806,454850,534573,309370,413780,41070,44709,56367,23436
100～499人,364522,428396,258503,352271,415555,247231,322078,30193,12251,12841,11272
100人以上,427250,505302,291909,399921,471867,275168,364675,35246,27329,33435,16741
30～99人,303888,362035,220069,297003,353829,215088,276521,20482,6885,8206,4981
５～29人,259556,326847,181589,249236,312369,176087,237606,11630,10320,14478,5502
30人以上,385182,458725,265552,364825,433492,253126,334614,30211,20357,25233,12426
５人以上,347159,422675,236533,329840,400382,226500,305253,24587,17319,22293,10033
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年５月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
