規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.1,18.4,17.6,146.9,152.8,136.2,132.8,136.7,125.8,14.1,16.1,10.4
100～499人,17.9,18.5,17,146.8,157.4,129.2,132.1,139.5,119.9,14.7,17.9,9.3
100人以上,18,18.5,17.3,146.8,155.3,132.4,132.4,138.2,122.6,14.4,17.1,9.8
30～99人,18.3,19,17.4,147.6,160.5,128.9,133.9,142.7,121.1,13.7,17.8,7.8
５～29人,17.5,18.7,16,133.5,151.3,112.1,125.1,140,107.2,8.4,11.3,4.9
30人以上,18.1,18.6,17.3,147.1,157,131.1,132.9,139.7,122,14.2,17.3,9.1
５人以上,17.9,18.6,16.9,142.9,155.3,124.6,130.5,139.7,116.9,12.4,15.6,7.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年１２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
