規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,513857,498750,454858,43892,15107,118971,117640,110202,7438,1331
100～499人,420770,396068,360004,36064,24702,120599,118750,112368,6382,1849
100人以上,465666,445592,405753,39839,20074,120037,118367,111620,6747,1670
30～99人,402558,359270,330934,28336,43288,105233,102121,98613,3508,3112
５～29人,366511,347085,328810,18275,19426,91979,91247,88592,2655,732
30人以上,445750,418350,382141,36209,27400,113240,110908,105648,5260,2332
５人以上,426221,400786,368997,31789,25435,102821,101273,97290,3983,1548
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年１１月分          ,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
