規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,469334,554586,318127,458144,541659,310017,418172,39972,11190,12927,8110
100～499人,360357,428848,248587,346435,411651,240010,317742,28693,13922,17197,8577
100人以上,410854,488076,279905,398198,472891,271538,364279,33919,12656,15185,8367
30～99人,308706,367831,223985,299602,356718,217760,279288,20314,9104,11113,6225
５～29人,254257,320294,175869,247381,311309,171496,235397,11984,6876,8985,4373
30人以上,375998,448805,259513,364554,434950,251928,335277,29277,11444,13855,7585
５人以上,338832,412909,230812,328783,400414,224329,304785,23998,10049,12495,6483
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年１０月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
