規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.6,18.8,18.1,151.1,156.3,141.6,136.5,140,130.1,14.6,16.3,11.5
100～499人,18.4,18.8,17.6,149.4,158.7,134,134.6,141.1,123.9,14.8,17.6,10.1
100人以上,18.5,18.8,17.9,150.2,157.6,137.4,135.5,140.6,126.7,14.7,17,10.7
30～99人,18.5,19.1,17.8,149,161.1,131.5,136,144.6,123.6,13,16.5,7.9
５～29人,17.4,18.5,16.2,132.9,148,115.5,124.8,137.2,110.4,8.1,10.8,5.1
30人以上,18.5,18.9,17.8,149.8,158.7,135.2,135.7,141.9,125.5,14.1,16.8,9.7
５人以上,18.2,18.8,17.3,144.7,155.8,128.4,132.4,140.6,120.3,12.3,15.2,8.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年５月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
