規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.2,159.5,143.5,16,13.9,86.9,82.7,4.2
100～499人,19.2,161.6,144.6,17,14.2,91.1,86.7,4.4
100人以上,19.2,160.6,144.1,16.5,14.1,89.5,85.2,4.3
30～99人,19.5,167.5,151.5,16,15.1,87.1,84.2,2.9
５～29人,19.8,164,152.5,11.5,13.4,79.5,77.1,2.4
30人以上,19.3,162.7,146.4,16.3,14.5,88.4,84.7,3.7
５人以上,19.4,163,147.9,15.1,14,84.2,81.1,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年５月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
