規模,産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
30人以上,調査産業計,611983,2.6,88.8,93.9,1.37,0.03
30人以上,"鉱業,採石業,砂利採取業",1299311,3.2,100,100,2.11,0.26
30人以上,建設業,649057,14.4,87.3,94.5,1.3,0
30人以上,製造業,851785,13.3,89.5,96.1,1.39,0.04
30人以上,電気・ガス・熱供給・水道業,1008166,1.6,87.2,68.9,2.47,0.16
30人以上,情報通信業,820202,2.6,91.3,96.6,1.67,0.12
30人以上,運輸業，郵便業,510990,8,94.3,97.1,1.54,0.25
30人以上,卸売業，小売業,654303,5.2,89.7,93.3,1.32,0.04
30人以上,"金融業,保険業",1015186,5,96.4,99.4,1.97,0.06
30人以上,不動産業，物品賃貸業,657422,8.6,86.2,93.5,1.67,0.15
30人以上,学術研究，専門・技術サービス業,596551,1.3,83.3,95.1,1.38,-0.06
30人以上,宿泊業，飲食サービス業,169829,11.4,87.9,91.5,0.5,0.04
30人以上,生活関連サービス業，娯楽業,392679,-19.6,76.9,86.3,1.2,-0.4
30人以上,教育，学習支援業,630460,-0.9,92.9,97.4,1.66,0.01
30人以上,医療，福祉,396571,3.2,100,100,1.2,0.02
30人以上,複合サービス事業,443805,-0.4,100,100,1.5,0.04
30人以上,サービス業（他に分類されないもの）,274349,-10.6,78,84,1.13,-0.01
30～99人,調査産業計,378816,-2.4,87.2,90.7,1.3,0.03
30～99人,"鉱業,採石業,砂利採取業",Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,建設業,498248,0.2,83.3,92.4,1.19,-0.04
30～99人,製造業,416890,4.7,85.6,88.6,1.11,0
30～99人,電気・ガス・熱供給・水道業,726626,-7.3,78.8,59.5,2.11,-0.04
30～99人,情報通信業,586189,9,90.9,94,1.58,0.12
30～99人,運輸業，郵便業,534804,12,93.4,95.7,1.68,0.31
30～99人,卸売業，小売業,357138,1.3,87.9,88.5,1.24,0.04
30～99人,"金融業,保険業",565866,0.8,95.4,97.1,1.86,0.04
30～99人,不動産業，物品賃貸業,451617,39.6,82.4,90.3,1.55,0.27
30～99人,学術研究，専門・技術サービス業,248590,13.3,82.7,95,1.22,-0.09
30～99人,宿泊業，飲食サービス業,136596,5.3,87.7,89.9,0.47,0.03
30～99人,生活関連サービス業，娯楽業,275868,-23.5,73.3,80.5,1.21,-0.5
30～99人,教育，学習支援業,603046,-3,92.3,96.8,1.63,0
30～99人,医療，福祉,267998,3.9,100,100,1.17,0.02
30～99人,複合サービス事業,404868,0.5,100,100,1.5,0.04
30～99人,サービス業（他に分類されないもの）,293731,-17,75.9,83.5,1.21,0.02
100～499人,調査産業計,504086,-1.1,92.8,94.7,1.45,0.01
100～499人,"鉱業,採石業,砂利採取業",1480649,-5.3,100,100,3.27,0.21
100～499人,建設業,655445,16.4,100,100,1.57,0.01
100～499人,製造業,718317,8,98.3,96.9,1.79,0.06
100～499人,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,情報通信業,626344,-6.5,89.1,93.9,1.7,0.1
100～499人,運輸業，郵便業,393441,3.4,96.7,98.2,1.14,0.06
100～499人,卸売業，小売業,485116,-0.7,94.6,94.9,1.45,-0.01
100～499人,"金融業,保険業",969050,7.1,100,100,2.25,0.14
100～499人,不動産業，物品賃貸業,647738,0.4,92.4,94.4,1.83,0
100～499人,学術研究，専門・技術サービス業,612371,0,82.3,92.5,1.62,0.01
100～499人,宿泊業，飲食サービス業,232754,16.8,90.6,96.6,0.78,0.06
100～499人,生活関連サービス業，娯楽業,355198,-23.4,86.8,90.8,1.13,-0.09
100～499人,教育，学習支援業,696806,6.8,100,100,1.92,0.06
100～499人,医療，福祉,372510,-1.1,100,100,1.22,0.01
100～499人,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,サービス業（他に分類されないもの）,212671,-8.6,83,87.2,0.91,-0.01
500人以上,調査産業計,1051693,7.4,95.8,97,2.21,0.13
500人以上,"鉱業,採石業,砂利採取業",Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,建設業,814101,0.5,91.2,89.2,1.62,0.03
500人以上,製造業,1169176,17.6,99,99.9,2.65,0.31
500人以上,電気・ガス・熱供給・水道業,1098160,3,50,63.1,2.18,0.02
500人以上,情報通信業,1072554,1.6,100,100,2.09,0.03
500人以上,運輸業，郵便業,831704,9.6,95.2,96.1,1.99,0.07
500人以上,卸売業，小売業,1388824,9.8,98.3,99,2.39,0.2
500人以上,"金融業,保険業",1243587,4.6,100,100,2.78,0.19
500人以上,不動産業，物品賃貸業,1085653,8.7,93.3,97.4,2.2,0.07
500人以上,学術研究，専門・技術サービス業,1311214,11.4,100,100,2.39,0.11
500人以上,宿泊業，飲食サービス業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,生活関連サービス業，娯楽業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,教育，学習支援業,612818,-4.5,90.5,96.1,1.81,0
500人以上,医療，福祉,622014,8.5,100,100,1.66,0.21
500人以上,複合サービス事業,691061,-3,100,100,2.02,0
500人以上,サービス業（他に分類されないもの）,570720,5.8,80.4,69.7,1.82,-0.1
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年夏季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
