規模,産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
30人以上,調査産業計,621599,4.1,88.5,93.8,1.44,0.05
30人以上,"鉱業,採石業,砂利採取業",1257440,3,100,100,1.87,0.07
30人以上,建設業,680396,15.2,100,100,1.53,0.26
30人以上,製造業,815437,5.5,94,97.1,1.36,-0.08
30人以上,電気・ガス・熱供給・水道業,1048218,2.2,87.2,72.2,2.66,0.01
30人以上,情報通信業,818448,2.7,92.4,98,1.72,-0.02
30人以上,運輸業，郵便業,545254,9.4,78.4,89.3,1.82,0.43
30人以上,卸売業，小売業,529177,2.2,85.3,92.2,1.31,0.04
30人以上,"金融業,保険業",1042753,1.4,95,99.3,1.93,-0.11
30人以上,不動産業，物品賃貸業,612845,4.2,89,96.5,1.55,0.04
30人以上,学術研究，専門・技術サービス業,634627,1.4,79.6,96.5,1.79,0.19
30人以上,宿泊業，飲食サービス業,174958,9.9,90.1,92.6,0.47,-0.04
30人以上,生活関連サービス業，娯楽業,320063,-3.5,85.9,89.2,0.94,-0.07
30人以上,教育，学習支援業,740820,-0.2,99.9,99.3,1.9,0
30人以上,医療，福祉,476832,3.2,97.2,99.5,1.37,0.04
30人以上,複合サービス事業,504614,7.4,100,100,1.67,0.08
30人以上,サービス業（他に分類されないもの）,343279,13.9,79.9,78.5,1.24,0.05
30～99人,調査産業計,427064,8.4,86.5,88.8,1.39,0.06
30～99人,"鉱業,採石業,砂利採取業",Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,建設業,702815,47,100,100,1.53,0.38
30～99人,製造業,404752,-6.6,92.4,93.1,1.11,-0.1
30～99人,電気・ガス・熱供給・水道業,853778,5.8,78.8,62.1,2.44,0.17
30～99人,情報通信業,539576,-2.2,90.5,93.8,1.69,-0.04
30～99人,運輸業，郵便業,638545,31,72.7,73.6,2.03,0.59
30～99人,卸売業，小売業,360616,-0.1,81.8,83,1.23,0.01
30～99人,"金融業,保険業",570526,-0.4,94.2,96.8,1.79,-0.15
30～99人,不動産業，物品賃貸業,421738,15.7,83.8,90.8,1.42,0.07
30～99人,学術研究，専門・技術サービス業,328032,14.2,72.7,92.7,1.68,0.21
30～99人,宿泊業，飲食サービス業,138734,1.6,90,91.5,0.45,-0.04
30～99人,生活関連サービス業，娯楽業,178507,-8.5,85.7,89.3,0.9,-0.08
30～99人,教育，学習支援業,688683,-1.6,100,100,1.84,0
30～99人,医療，福祉,316700,5.4,95.9,98.4,1.32,0.03
30～99人,複合サービス事業,453772,6.9,100,100,1.67,0.08
30～99人,サービス業（他に分類されないもの）,448030,40.1,79,76,1.32,0.03
100～499人,調査産業計,523553,3.2,94.2,95.9,1.49,0.03
100～499人,"鉱業,採石業,砂利採取業",1223812,0.5,100,100,2.4,-0.11
100～499人,建設業,551712,3.2,100,100,1.51,-0.07
100～499人,製造業,701789,4.2,97.6,96.6,1.78,0.04
100～499人,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,情報通信業,613547,3.3,94.1,98.2,1.64,0.01
100～499人,運輸業，郵便業,424438,-1.9,96.5,97.8,1.25,0.08
100～499人,卸売業，小売業,465776,4.9,96.2,97.5,1.44,0.06
100～499人,"金融業,保険業",957949,-1.8,96.7,99.8,2.2,0
100～499人,不動産業，物品賃貸業,572536,-1.8,97.3,99.2,1.68,-0.07
100～499人,学術研究，専門・技術サービス業,642469,6.1,94,99,1.86,0.16
100～499人,宿泊業，飲食サービス業,211159,7.2,91.7,95.2,0.76,0.03
100～499人,生活関連サービス業，娯楽業,284154,1.9,85.3,85.4,0.95,-0.02
100～499人,教育，学習支援業,866866,3.4,100,100,2.48,0.06
100～499人,医療，福祉,432685,3.8,100,100,1.39,0.03
100～499人,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,サービス業（他に分類されないもの）,261420,3.6,82.6,84.4,1.02,0.07
500人以上,調査産業計,991096,4.8,96,97.2,2.19,0.06
500人以上,"鉱業,採石業,砂利採取業",Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,建設業,859109,2.7,100,100,1.66,-0.06
500人以上,製造業,1122662,19.5,100,100,2.55,0.16
500人以上,電気・ガス・熱供給・水道業,1112628,4.2,50,67.4,2.31,0.16
500人以上,情報通信業,1124037,2.7,100,100,2.16,0.05
500人以上,運輸業，郵便業,750319,1.1,98.6,97.5,1.99,0.01
500人以上,卸売業，小売業,857342,-3.4,98.4,99,1.97,0.09
500人以上,"金融業,保険業",1282841,5.1,100,100,2.69,0.14
500人以上,不動産業，物品賃貸業,1177636,8.5,92.3,97.7,2.44,0.09
500人以上,学術研究，専門・技術サービス業,1221703,-4,100,100,2.5,-0.21
500人以上,宿泊業，飲食サービス業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,生活関連サービス業，娯楽業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,教育，学習支援業,709030,-2.2,96.6,97.8,2.19,0.04
500人以上,医療，福祉,798053,8.6,100,100,2.15,0.18
500人以上,複合サービス事業,815361,11.5,100,100,2.4,0.25
500人以上,サービス業（他に分類されないもの）,487205,-2.3,72.3,59.6,1.64,-0.04
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年冬季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
