事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,TL 調査産業計,平成18,2006,年平均,19.9,165.1,151.3,13.8,14.7,90.2,86.8,3.4
５人以上,TL 調査産業計,平成19,2007,年平均,20,165.8,151.8,14,14.6,89.7,86.5,3.2
５人以上,TL 調査産業計,平成20,2008,年平均,19.8,164.6,150.8,13.8,14.5,88.7,85.3,3.4
５人以上,TL 調査産業計,平成21,2009,年平均,19.6,162.2,148.8,13.4,13.8,83.2,80.3,2.9
５人以上,TL 調査産業計,平成22,2010,年平均,19.7,163.4,149.6,13.8,14.2,86.6,83.8,2.8
５人以上,TL 調査産業計,平成23,2011,年平均,19.6,163,149.4,13.6,14.1,85.6,83,2.6
５人以上,TL 調査産業計,平成24,2012,年平均,19.9,166.3,151.7,14.6,14.5,87.2,84.4,2.8
５人以上,TL 調査産業計,平成25,2013,年平均,19.7,164.7,149.9,14.8,14.1,84.9,81.9,3
５人以上,TL 調査産業計,平成26,2014,年平均,19.6,164.3,149.2,15.1,13.9,83.7,80.7,3
５人以上,TL 調査産業計,平成26,2014,1月,18.2,152.9,138.5,14.4,13.4,81.4,78.1,3.3
５人以上,TL 調査産業計,平成26,2014,2月,19.1,160.1,145.2,14.9,13.4,80.6,77.7,2.9
５人以上,TL 調査産業計,平成26,2014,3月,19.3,162.9,146.9,16,13.6,82.6,79.5,3.1
５人以上,TL 調査産業計,平成26,2014,4月,20.3,172,155.7,16.3,14,85.3,82,3.3
５人以上,TL 調査産業計,平成26,2014,5月,19.4,163,147.9,15.1,14,84.2,81.1,3.1
５人以上,TL 調査産業計,平成26,2014,6月,20.4,170.4,155.6,14.8,14.2,85.4,82.5,2.9
５人以上,TL 調査産業計,平成26,2014,7月,20.8,173.1,157.7,15.4,14.4,85.6,82.5,3.1
５人以上,TL 調査産業計,平成26,2014,8月,19.2,160.6,146.2,14.4,13.7,83.3,80.3,3
５人以上,TL 調査産業計,平成26,2014,9月,19.4,161.5,147.3,14.2,13.9,83.7,80.7,3
５人以上,TL 調査産業計,平成26,2014,10月,20.3,169.2,154.1,15.1,14,83.6,80.9,2.7
５人以上,TL 調査産業計,平成26,2014,11月,19.5,164,148.5,15.5,13.9,83.1,80.3,2.8
５人以上,TL 調査産業計,平成26,2014,12月,19.2,161.3,146,15.3,13.9,85.4,82.2,3.2
５人以上,C 鉱業，採石業，砂利採取業,平成18,2006,年平均,19.6,150.5,146.7,3.8,3.1,17.9,17.9,0
５人以上,C 鉱業，採石業，砂利採取業,平成19,2007,年平均,19.8,159.8,144.5,15.3,13.7,64.4,64.3,0.1
５人以上,C 鉱業，採石業，砂利採取業,平成20,2008,年平均,19.6,158.5,144.2,14.3,13.5,60.6,60,0.6
５人以上,C 鉱業，採石業，砂利採取業,平成21,2009,年平均,18.8,148.9,136.3,12.6,10.6,60.9,56.2,4.7
５人以上,C 鉱業，採石業，砂利採取業,平成22,2010,年平均,19,151.3,138.2,13.1,12.6,81.8,80,1.8
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,年平均,19,150.5,139.2,11.3,10.8,70.6,70.5,0.1
５人以上,C 鉱業，採石業，砂利採取業,平成24,2012,年平均,19.6,160.5,143.3,17.2,16,105.1,100.5,4.6
５人以上,C 鉱業，採石業，砂利採取業,平成25,2013,年平均,19.2,157.1,139.9,17.2,16.6,115.4,109.7,5.7
５人以上,C 鉱業，採石業，砂利採取業,平成26,2014,年平均,19.1,157.9,139,18.9,16.2,115.6,108.2,7.4
５人以上,C 鉱業，採石業，砂利採取業,平成26,2014,1月,18.2,154.7,132.6,22.1,14.2,97.3,94.4,2.9
５人以上,C 鉱業，採石業，砂利採取業,平成26,2014,2月,17.9,151.7,130.1,21.6,13.9,101.2,86.8,14.4
５人以上,C 鉱業，採石業，砂利採取業,平成26,2014,3月,19.2,163.3,137,26.3,17.1,119.6,106.8,12.8
５人以上,C 鉱業，採石業，砂利採取業,平成26,2014,4月,20.6,170.8,150.6,20.2,19,134.3,128.1,6.2
５人以上,C 鉱業，採石業，砂利採取業,平成26,2014,5月,18.4,152.2,134.9,17.3,16.4,118.6,113.1,5.5
５人以上,C 鉱業，採石業，砂利採取業,平成26,2014,6月,19.9,161.6,145.8,15.8,16.3,116.2,109.4,6.8
５人以上,C 鉱業，採石業，砂利採取業,平成26,2014,7月,20.7,168.3,151.4,16.9,17.6,124.8,117.8,7
５人以上,C 鉱業，採石業，砂利採取業,平成26,2014,8月,18.9,153.7,136,17.7,14.7,107.9,99.6,8.3
５人以上,C 鉱業，採石業，砂利採取業,平成26,2014,9月,18.7,152.8,137.2,15.6,17.1,122.3,111.8,10.5
５人以上,C 鉱業，採石業，砂利採取業,平成26,2014,10月,20.7,170.5,150.9,19.6,16.6,117.8,110.1,7.7
５人以上,C 鉱業，採石業，砂利採取業,平成26,2014,11月,17.9,148.4,129.4,19,15.4,111.1,105.8,5.3
５人以上,C 鉱業，採石業，砂利採取業,平成26,2014,12月,18,146.1,131.4,14.7,15.7,112.3,108.8,3.5
５人以上,D 建設業,平成18,2006,年平均,21.1,174.5,160.7,13.8,16.9,119.9,115.9,4
５人以上,D 建設業,平成19,2007,年平均,20.9,174.3,159.5,14.8,16.3,117,113.6,3.4
５人以上,D 建設業,平成20,2008,年平均,20.7,174.2,158.3,15.9,16.1,111.9,108.3,3.6
５人以上,D 建設業,平成21,2009,年平均,20.3,171,155.4,15.6,16.9,110.9,108.7,2.2
５人以上,D 建設業,平成22,2010,年平均,20.3,170.7,156,14.7,16.9,109.2,106.4,2.8
５人以上,D 建設業,平成23,2011,年平均,20.3,171.4,155.3,16.1,15.7,104.8,103.5,1.3
５人以上,D 建設業,平成24,2012,年平均,20.9,178.7,157.8,20.9,14.2,99.2,97.9,1.3
５人以上,D 建設業,平成25,2013,年平均,20.7,176.7,156.4,20.3,15.6,118,116.8,1.2
５人以上,D 建設業,平成26,2014,年平均,20.6,176.6,155.6,21,16.3,123.9,122.9,1
５人以上,D 建設業,平成26,2014,1月,18.4,158.5,139.6,18.9,14.7,114.7,113.6,1.1
５人以上,D 建設業,平成26,2014,2月,20.8,178,157.3,20.7,15.6,121.5,120.2,1.3
５人以上,D 建設業,平成26,2014,3月,20.6,177.6,154.9,22.7,16.5,126.6,124.7,1.9
５人以上,D 建設業,平成26,2014,4月,21.1,182.5,159.4,23.1,14,101,100.1,0.9
５人以上,D 建設業,平成26,2014,5月,20,172,152.4,19.6,16.5,126.5,125.5,1
５人以上,D 建設業,平成26,2014,6月,21.4,184.5,164.6,19.9,17.5,136.1,134.9,1.2
５人以上,D 建設業,平成26,2014,7月,21.8,185.7,165.1,20.6,18.8,145.7,144.8,0.9
５人以上,D 建設業,平成26,2014,8月,20.1,170.8,150.2,20.6,15.6,119.4,118.5,0.9
５人以上,D 建設業,平成26,2014,9月,20.1,172.5,151.5,21,16.5,125,124,1
