産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.5,1.52,1.3,1.35
"鉱業,採石業,砂利採取業",1.08,2.26,1.08,2.26
建設業,1.04,0.97,0.86,0.76
製造業,0.84,1,0.69,1.07
電気・ガス・熱供給・水道業,1.26,1.06,1.47,1.23
情報通信業,0.97,0.74,0.77,0.81
"運輸業,郵便業",0.91,1.17,0.73,1.09
"卸売業,小売業",1.31,1.31,0.89,1.13
"金融業,保険業",1.22,1.49,1.14,1.51
"不動産業,物品賃貸業",1.82,1.25,1.54,1.17
"学術研究,専門・技術サービス業",2.95,1.58,3.97,1.61
"宿泊業,飲食サービス業",2.73,3.28,1.8,2.44
"生活関連サービス業,娯楽業",2.02,2.28,1.08,1.43
"教育,学習支援業",2.03,2.02,2.17,2.28
"医療,福祉",1.03,1.51,1.02,1.32
複合サービス事業,0.48,1.29,0.48,0.04
サービス業（他に分類されないもの）,1.86,1.68,1.96,1.79
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年１月分,,,,
第４表  規模、産業別労働異動率,,,,
