規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,1117216,1361696,674871,452882,532734,308404,414257,38625,664334,828962,366467
100～499人,722051,877416,462942,352996,417567,245308,322858,30138,369055,459849,217634
100人以上,905267,1105537,558481,399308,471817,273752,365235,34073,505959,633720,284729
30～99人,501018,603251,353801,300451,358649,216645,279972,20479,200567,244602,137156
５～29人,341492,432860,234621,251067,313270,178309,239271,11796,90425,119590,56312
30人以上,767366,942172,483378,365585,435010,252798,336150,29435,401781,507162,230580
５人以上,638102,802043,397507,330826,401515,227084,306745,24081,307276,400528,170423
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年６月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
