規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.9,156.7,141,15.7,13.7,84.5,80.7,3.8
100～499人,19,161.1,144.4,16.7,14.5,91,87,4
100人以上,19,159,142.7,16.3,14.2,88.7,84.8,3.9
30～99人,19.6,168.3,150.9,17.4,14.8,84.7,82.3,2.4
５～29人,20.5,170.5,158.3,12.2,13.2,79.1,76.7,2.4
30人以上,19.2,161.9,145.3,16.6,14.5,86.9,83.7,3.2
５人以上,19.5,164,148.5,15.5,13.9,83.1,80.3,2.8
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年１１月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
