規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.2,18.6,17.5,148.5,154.7,137.2,133.3,137.7,125.3,15.2,17,11.9
100～499人,18.2,18.7,17.2,148.8,159.3,130.7,133.6,141,120.8,15.2,18.3,9.9
100人以上,18.2,18.7,17.3,148.6,157.1,133.6,133.4,139.4,122.8,15.2,17.7,10.8
30～99人,18.2,18.9,17.2,148,162.1,127.8,133.9,143.7,119.9,14.1,18.4,7.9
５～29人,17.5,18.7,16.1,134.5,151.4,114.5,125.6,139.5,109.3,8.9,11.9,5.2
30人以上,18.2,18.7,17.3,148.4,158.7,131.4,133.6,140.8,121.7,14.8,17.9,9.7
５人以上,18,18.7,16.9,144.2,156.8,125.6,131.2,140.5,117.4,13,16.3,8.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年３月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
