規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.6,20,18.9,158.4,165.1,146.5,143.8,148.4,135.6,14.6,16.7,10.9
100～499人,19,19.6,18,154,165,135.9,139.7,147.7,126.6,14.3,17.3,9.3
100人以上,19.3,19.8,18.4,156,165,140.6,141.6,148,130.6,14.4,17,10
30～99人,19.2,19.8,18.2,151.4,164.9,132.1,138.8,148.7,124.5,12.6,16.2,7.6
５～29人,17.8,19.1,16.2,135.2,154.1,112.8,127.1,142.9,108.2,8.1,11.2,4.6
30人以上,19.2,19.8,18.4,154.4,165,137.5,140.6,148.3,128.4,13.8,16.7,9.1
５人以上,18.8,19.6,17.6,148.6,162,129.1,136.5,146.8,121.5,12.1,15.2,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年１０月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
