規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,508887,499057,457524,41533,9830,114446,113518,106481,7037,928
100～499人,402807,396848,363438,33410,5959,113522,112892,106745,6147,630
100人以上,453815,445995,408679,37316,7820,113858,113120,106649,6471,738
30～99人,362738,356928,331054,25874,5810,102115,101572,98059,3513,543
５～29人,345126,340337,323496,16841,4789,90603,90408,87770,2638,195
30人以上,424803,417623,383952,33671,7180,108601,107950,102803,5147,651
５人以上,404895,398313,368847,29466,6582,99963,99531,95588,3943,432
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年２月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
