規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,523150,494164,455094,39070,28986,123676,120135,112952,7183,3541
100～499人,447229,398694,367458,31236,48535,118240,116818,110960,5858,1422
100人以上,483811,444696,409685,35011,39115,120174,117998,111669,6329,2176
30～99人,384685,371830,345301,26529,12855,105196,104207,100918,3289,989
５～29人,352467,345796,328330,17466,6671,91814,91360,88747,2613,454
30人以上,452502,421681,389349,32332,30821,113281,111651,106721,4930,1630
５人以上,427721,402883,374234,28649,24838,102780,101725,97929,3796,1055
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年９月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
