規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.7,163.8,148.1,15.7,14.3,88.8,84.8,4
100～499人,19.8,166.8,150.9,15.9,14.6,90.5,86.5,4
100人以上,19.8,165.4,149.6,15.8,14.5,89.9,85.9,4
30～99人,20.7,175.9,159.9,16,15.3,88.9,86.2,2.7
５～29人,21.3,175.6,163.9,11.7,13.6,80.9,78.7,2.2
30人以上,20,168.8,152.9,15.9,14.8,89.4,86,3.4
５人以上,20.4,170.4,155.6,14.8,14.2,85.4,82.5,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年６月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
