事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
30人以上,TL 調査産業計,平成18,2006,年平均,19.6,163.8,148.5,15.3,14.8,91.3,87.1,4.2
30人以上,TL 調査産業計,平成19,2007,年平均,19.7,165,149.3,15.7,15.6,96.2,91.9,4.3
30人以上,TL 調査産業計,平成20,2008,年平均,19.6,164.1,148.9,15.2,15.2,94.9,90.7,4.2
30人以上,TL 調査産業計,平成21,2009,年平均,19.4,161.3,146.7,14.6,13.9,84.7,81.3,3.4
30人以上,TL 調査産業計,平成22,2010,年平均,19.5,162.1,147,15.1,14.3,87.3,83.8,3.5
30人以上,TL 調査産業計,平成23,2011,年平均,19.4,161.5,146.7,14.8,14.3,88.2,84.6,3.6
30人以上,TL 調査産業計,平成24,2012,年平均,19.7,165.5,149.6,15.9,15,91.1,87.6,3.5
30人以上,TL 調査産業計,平成25,2013,年平均,19.4,163.4,147.5,15.9,14.7,88.9,85.3,3.6
30人以上,TL 調査産業計,平成26,2014,年平均,19.4,163,146.8,16.2,14.5,87.8,84.3,3.5
30人以上,TL 調査産業計,平成26,2014,1月,18.2,153.5,138,15.5,14.1,85.3,81.5,3.8
30人以上,TL 調査産業計,平成26,2014,2月,18.7,157.8,141.8,16,13.9,83.8,80.5,3.3
30人以上,TL 調査産業計,平成26,2014,3月,19.1,161.7,144.5,17.2,14.2,86.5,82.9,3.6
30人以上,TL 調査産業計,平成26,2014,4月,20.1,170.7,153.3,17.4,14.7,89.9,86,3.9
30人以上,TL 調査産業計,平成26,2014,5月,19.3,162.7,146.4,16.3,14.5,88.4,84.7,3.7
30人以上,TL 調査産業計,平成26,2014,6月,20,168.8,152.9,15.9,14.8,89.4,86,3.4
30人以上,TL 調査産業計,平成26,2014,7月,20.6,172.2,155.8,16.4,15,90,86.5,3.5
30人以上,TL 調査産業計,平成26,2014,8月,19,159.5,144.1,15.4,14.3,87.4,84,3.4
30人以上,TL 調査産業計,平成26,2014,9月,19.1,159.4,144.3,15.1,14.5,87.3,84.1,3.2
30人以上,TL 調査産業計,平成26,2014,10月,20.2,168.6,152.5,16.1,14.8,88.6,85.4,3.2
30人以上,TL 調査産業計,平成26,2014,11月,19.2,161.9,145.3,16.6,14.5,86.9,83.7,3.2
30人以上,TL 調査産業計,平成26,2014,12月,18.9,159.4,143,16.4,14.5,90.4,86.6,3.8
30人以上,C 鉱業，採石業，砂利採取業,平成18,2006,年平均,19.6,150.5,146.7,3.8,3.1,17.9,17.9,0
30人以上,C 鉱業，採石業，砂利採取業,平成19,2007,年平均,19.8,159.8,144.5,15.3,13.7,64.4,64.3,0.1
30人以上,C 鉱業，採石業，砂利採取業,平成20,2008,年平均,19.6,158.5,144.2,14.3,13.5,60.6,60,0.6
30人以上,C 鉱業，採石業，砂利採取業,平成21,2009,年平均,18.8,148.9,136.3,12.6,10.6,60.9,56.2,4.7
30人以上,C 鉱業，採石業，砂利採取業,平成22,2010,年平均,19,151.3,138.2,13.1,12.6,81.8,80,1.8
30人以上,C 鉱業，採石業，砂利採取業,平成23,2011,年平均,19,150.5,139.2,11.3,10.8,70.6,70.5,0.1
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,年平均,19.6,160.5,143.3,17.2,16,105.1,100.5,4.6
30人以上,C 鉱業，採石業，砂利採取業,平成25,2013,年平均,19.2,157.1,139.9,17.2,16.6,115.4,109.7,5.7
30人以上,C 鉱業，採石業，砂利採取業,平成26,2014,年平均,19.1,157.9,139,18.9,16.2,115.6,108.2,7.4
30人以上,C 鉱業，採石業，砂利採取業,平成26,2014,1月,18.2,154.7,132.6,22.1,14.2,97.3,94.4,2.9
30人以上,C 鉱業，採石業，砂利採取業,平成26,2014,2月,17.9,151.7,130.1,21.6,13.9,101.2,86.8,14.4
30人以上,C 鉱業，採石業，砂利採取業,平成26,2014,3月,19.2,163.3,137,26.3,17.1,119.6,106.8,12.8
30人以上,C 鉱業，採石業，砂利採取業,平成26,2014,4月,20.6,170.8,150.6,20.2,19,134.3,128.1,6.2
30人以上,C 鉱業，採石業，砂利採取業,平成26,2014,5月,18.4,152.2,134.9,17.3,16.4,118.6,113.1,5.5
30人以上,C 鉱業，採石業，砂利採取業,平成26,2014,6月,19.9,161.6,145.8,15.8,16.3,116.2,109.4,6.8
30人以上,C 鉱業，採石業，砂利採取業,平成26,2014,7月,20.7,168.3,151.4,16.9,17.6,124.8,117.8,7
30人以上,C 鉱業，採石業，砂利採取業,平成26,2014,8月,18.9,153.7,136,17.7,14.7,107.9,99.6,8.3
30人以上,C 鉱業，採石業，砂利採取業,平成26,2014,9月,18.7,152.8,137.2,15.6,17.1,122.3,111.8,10.5
30人以上,C 鉱業，採石業，砂利採取業,平成26,2014,10月,20.7,170.5,150.9,19.6,16.6,117.8,110.1,7.7
30人以上,C 鉱業，採石業，砂利採取業,平成26,2014,11月,17.9,148.4,129.4,19,15.4,111.1,105.8,5.3
30人以上,C 鉱業，採石業，砂利採取業,平成26,2014,12月,18,146.1,131.4,14.7,15.7,112.3,108.8,3.5
30人以上,D 建設業,平成18,2006,年平均,20.5,172.5,156.8,15.7,14.3,83.2,81.6,1.6
30人以上,D 建設業,平成19,2007,年平均,20.5,174.1,157.4,16.7,17.5,129,126,3
30人以上,D 建設業,平成20,2008,年平均,20.4,173.6,156.2,17.4,17.3,125.1,122,3.1
30人以上,D 建設業,平成21,2009,年平均,19.8,170.5,151.8,18.7,17.1,115.8,113,2.8
30人以上,D 建設業,平成22,2010,年平均,19.9,170,152.2,17.8,17.5,124.3,121.6,2.7
30人以上,D 建設業,平成23,2011,年平均,19.9,170.1,151.6,18.5,17.8,128.7,126.1,2.6
30人以上,D 建設業,平成24,2012,年平均,20.9,181.9,156.2,25.7,15.2,124,121.2,2.8
30人以上,D 建設業,平成25,2013,年平均,20.5,178.3,154.4,23.9,14.9,116.3,114,2.3
30人以上,D 建設業,平成26,2014,年平均,20.5,177.5,153.1,24.4,16.4,118.9,116.4,2.5
30人以上,D 建設業,平成26,2014,1月,18.7,163.6,141.6,22,14.5,109.7,106.7,3
30人以上,D 建設業,平成26,2014,2月,20.4,175.4,152.3,23.1,17.5,129.5,126.4,3.1
30人以上,D 建設業,平成26,2014,3月,20.3,175.3,150.3,25,17.2,129.1,124.9,4.2
30人以上,D 建設業,平成26,2014,4月,21.1,183.3,157.6,25.7,17.1,114.3,111.8,2.5
30人以上,D 建設業,平成26,2014,5月,20,175.1,152.2,22.9,15.5,109.9,107.9,2
30人以上,D 建設業,平成26,2014,6月,21,183.5,160.9,22.6,17.1,126.4,124.2,2.2
30人以上,D 建設業,平成26,2014,7月,21.8,188.2,163.7,24.5,17.7,133,131.2,1.8
30人以上,D 建設業,平成26,2014,8月,20,171.8,147.4,24.4,14.9,105,102.6,2.4
30人以上,D 建設業,平成26,2014,9月,19.5,171.4,146.1,25.3,15.8,115.8,113.2,2.6
30人以上,D 建設業,平成26,2014,10月,21.2,181.5,159.1,22.4,16.7,121,119.3,1.7
30人以上,D 建設業,平成26,2014,11月,21.4,185.2,157.2,28,16,116.1,113.6,2.5
30人以上,D 建設業,平成26,2014,12月,20,175.1,147.8,27.3,16,111.9,109.8,2.1
30人以上,E 製造業,平成18,2006,年平均,19.5,166,150.4,15.6,18.3,144.3,134.9,9.4
30人以上,E 製造業,平成19,2007,年平均,19.3,162.4,147.8,14.6,17.6,117.7,113.1,4.6
30人以上,E 製造業,平成20,2008,年平均,19.3,160.5,146.7,13.8,17.5,117.9,113.4,4.5
30人以上,E 製造業,平成21,2009,年平均,19.1,158.9,147.5,11.4,17.5,128.5,118.8,9.7
30人以上,E 製造業,平成22,2010,年平均,19.3,161.5,149,12.5,17.8,139,126.1,12.9
