規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.7,154.5,139.2,15.3,14,87.2,82.7,4.5
100～499人,18.7,159,142.2,16.8,14.4,91.4,86.4,5
100人以上,18.7,156.8,140.7,16.1,14.3,89.9,85.1,4.8
30～99人,19.4,164.9,147.8,17.1,14.8,91,88.4,2.6
５～29人,20.1,167.5,155.4,12.1,13.3,80.2,77.6,2.6
30人以上,18.9,159.4,143,16.4,14.5,90.4,86.6,3.8
５人以上,19.2,161.3,146,15.3,13.9,85.4,82.2,3.2
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年１２月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
