規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,463801,545849,310410,454988,535070,305274,417398,37590,8813,10779,5136
100～499人,352882,418012,243156,347843,412672,238625,319138,28705,5039,5340,4531
100人以上,404336,478508,273244,397546,470594,268442,364720,32826,6790,7914,4802
30～99人,303314,360460,219353,298705,354772,216330,277929,20776,4609,5688,3023
５～29人,251459,314458,177043,248361,310834,174566,236747,11614,3098,3624,2477
30人以上,369890,440113,253464,363844,432923,249315,335126,28718,6046,7190,4149
５人以上,333962,405640,226970,328810,399428,223401,305281,23529,5152,6212,3569
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
