規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19,157.9,142.4,15.5,13.9,89.1,85.1,4
100～499人,18.9,159.2,143.7,15.5,14.4,91.3,87.2,4.1
100人以上,19,158.6,143.1,15.5,14.2,90.5,86.5,4
30～99人,18.9,161.7,146.4,15.3,14.4,83.7,81,2.7
５～29人,19.8,163.7,152.6,11.1,13,79.1,76.4,2.7
30人以上,19,159.5,144.1,15.4,14.3,87.4,84,3.4
５人以上,19.2,160.6,146.2,14.4,13.7,83.3,80.3,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年８月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
