規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.8,156.7,140.1,16.6,13.4,84.7,80.1,4.6
100～499人,19,161.3,143.8,17.5,14.3,90.1,85.8,4.3
100人以上,18.9,159.1,142,17.1,14,88.2,83.8,4.4
30～99人,19.4,167.5,149.9,17.6,14.4,84.4,81.8,2.6
５～29人,20.1,166.6,154.1,12.5,13,78.4,75.9,2.5
30人以上,19.1,161.7,144.5,17.2,14.2,86.5,82.9,3.6
５人以上,19.3,162.9,146.9,16,13.6,82.6,79.5,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年３月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
