規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.6,18,17,143.1,148.8,132.3,129.1,133.1,121.5,14,15.7,10.8
100～499人,17.5,18,16.7,142.4,152,126.4,128.5,135.2,117.4,13.9,16.8,9
100人以上,17.6,18,16.8,142.7,150.5,129,128.8,134.2,119.2,13.9,16.3,9.8
30～99人,17.4,18,16.5,138.7,151.4,120.2,126.2,135.2,113.2,12.5,16.2,7
５～29人,16.2,17.1,15.1,123.5,137.2,107,115.6,126.8,102.1,7.9,10.4,4.9
30人以上,17.5,18,16.7,141.3,150.8,125.8,127.9,134.5,117,13.4,16.3,8.8
５人以上,17.1,17.7,16.1,136,147,119.4,124.2,132.4,111.9,11.8,14.6,7.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
