規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,20.6,169.9,153.6,16.3,14.8,91.8,87.9,3.9
100～499人,20.4,171.6,155,16.6,14.8,92.4,88.4,4
100人以上,20.5,170.7,154.3,16.4,14.8,92.1,88.2,3.9
30～99人,20.8,175.4,159,16.4,15.3,87.2,84.4,2.8
５～29人,21.3,175.8,163.5,12.3,13.7,81.1,78.3,2.8
30人以上,20.6,172.2,155.8,16.4,15,90,86.5,3.5
５人以上,20.8,173.1,157.7,15.4,14.4,85.6,82.5,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年７月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
