執行年月日_西暦,執行年月日_和暦,曜日,天候,選挙種別,年代（歳）,有権者数_（男）,有権者数_（女）,有権者数_（総計）,投票者数_（男）,投票者数_（女）,投票者数_（総計）,投票率_（男）,投票率_（女）,投票率_（総計）,,,,,,,,,
2017-10-22,平成29年10月22日,日曜日,雨,衆議院小選挙区,１８,893,839,"1,732",513,465,978,57.45%,55.42%,56.47%,,,,,,,,,
2017-10-22,平成29年10月22日,日曜日,雨,衆議院小選挙区,１９,971,966,"1,937",437,395,832,45.01%,40.89%,42.95%,,,,,,,,,
2017-10-22,平成29年10月22日,日曜日,雨,衆議院小選挙区,２０,"1,005",991,"1,996",423,369,792,42.09%,37.24%,39.68%,,,,,,,,,
2017-10-22,平成29年10月22日,日曜日,雨,衆議院小選挙区,２１～２４,"5,322","5,651","10,973","1,764","1,682","3,446",33.15%,29.76%,31.40%,,,,,,,,,
2017-10-22,平成29年10月22日,日曜日,雨,衆議院小選挙区,２５～２９,"9,416","9,721","19,137","3,055","3,226","6,281",32.44%,33.19%,32.82%,,,,,,,,,
2017-10-22,平成29年10月22日,日曜日,雨,衆議院小選挙区,３０～３４,"11,530","12,398","23,928","4,499","4,974","9,473",39.02%,40.12%,39.59%,,,,,,,,,
2017-10-22,平成29年10月22日,日曜日,雨,衆議院小選挙区,３５～３９,"11,968","12,984","24,952","5,689","6,034","11,723",47.54%,46.47%,46.98%,,,,,,,,,
2017-10-22,平成29年10月22日,日曜日,雨,衆議院小選挙区,４０～４４,"11,898","13,268","25,166","6,510","6,935","13,445",54.72%,52.27%,53.43%,,,,,,,,,
2017-10-22,平成29年10月22日,日曜日,雨,衆議院小選挙区,４５～４９,"10,651","12,398","23,049","6,254","7,244","13,498",58.72%,58.43%,58.56%,,,,,,,,,
2017-10-22,平成29年10月22日,日曜日,雨,衆議院小選挙区,５０～５４,"9,525","10,201","19,726","6,141","6,470","12,611",64.47%,63.43%,63.93%,,,,,,,,,
2017-10-22,平成29年10月22日,日曜日,雨,衆議院小選挙区,５５～５９,"7,531","7,665","15,196","5,117","5,146","10,263",67.95%,67.14%,67.54%,,,,,,,,,
2017-10-22,平成29年10月22日,日曜日,雨,衆議院小選挙区,６０～６４,"5,767","6,229","11,996","4,133","4,472","8,605",71.67%,71.79%,71.73%,,,,,,,,,
2017-10-22,平成29年10月22日,日曜日,雨,衆議院小選挙区,６５～６９,"6,648","7,594","14,242","4,938","5,606","10,544",74.28%,73.82%,74.03%,,,,,,,,,
2017-10-22,平成29年10月22日,日曜日,雨,衆議院小選挙区,７０～,"15,907","24,577","40,484","11,017","14,169","25,186",69.26%,57.65%,62.21%,,,,,,,,,
