区分１,区分２,区分３,広尾病院,大塚病院,駒込病院,墨東病院,多摩総合医療センター,神経病院,小児総合医療センター,松沢病院
災害,,東京都災害拠点病院（★基幹災害拠点病院、☆地域災害拠点中核病院、○地域災害拠点病院、◇災害医療支援病院）,★,○,○,☆,☆,◇,☆,○
災害,,東京ＤＭＡＴ指定病院,○,,,○,○,,,
救急,三次,東京都救命救急センター,○,,,○,○,,,
救急,二次,東京都救急告示医療機関,○,○,○,○,○,,○,○
救急,二次,東京都指定二次救急医療機関（休日・全夜間診療事業実施医療機関）,○,○,○,○,○,,○,
救急,二次,東京都地域救急医療センター（東京ルール）,○,○,,,,,,
救急,特殊,東京都熱傷救急連絡協議会加盟施設,○,,,○,○,,,
救急,特殊,精神科緊急医療機関（緊急措置入院等）,,,,○,○,,,○
救急,脳卒中,東京都脳卒中急性期医療機関,○,○,,○,○,,,
救急,心筋梗塞,東京都ＣＣＵネットワーク加盟施設,○,,,○,○,,,
周産期,,母体救命対応総合周産期母子医療センター（スーパー総合周産期センター）,,,,,○,,○,
周産期,,総合周産期母子医療センター,,○,,○,○,,○,
小児,救急,こども救命センター,,,,,,,○,
小児,救急,小児救命救急センター,,,,,,,○,
小児,精神,東京都子供の心診療拠点病院,,,,,,,○,
がん,,がん診療連携拠点病院（◎都道府県、○地域）,,,◎,,○,,,
がん,,東京都認定がん診療病院,,,,○,,,,
がん,,東京都（部位別）がん診療連携協力病院,,胃・大腸・乳・前立腺,,,,,,
がん,,小児がん拠点病院,,,,,,,○,
精神,,心神喪失者等医療観察法指定入院医療機関,,,,,,,,○
精神,,東京都認知症疾患医療センター,,,,,,,,○
感染症,,感染症指定医療機関（◎第一種・第二種）,,,◎,◎,,,,
感染症,,感染症指定医療機関（結核病床）,,,,,○,,○,
感染症,,エイズ診療中核拠点病院,,,○,,,,,
感染症,,エイズ診療協力病院（◎拠点、○連携）,◎,◎,◎,◎,◎,○,○,○
難病,,神経難病医療ネットワーク事業拠点病院,○,,,○,,○,,
その他,,治験中核病院・拠点医療機関（○拠点医療機関）,,,,,,,○,
