連携施設１,連携施設２,位置付け,主要医療課題,病床数（床）,内科広尾,内科大塚,内科駒込,内科墨東,内科多摩総合,内科大久保,内科多摩北,内科荏原,内科豊島,外科墨東,外科多摩総合,整形外科多摩総合,皮膚科墨東,耳鼻咽喉科多摩総合,泌尿器科駒込,産婦人科多摩総合,小児科大塚,小児科墨東,小児科小児総合,精神科墨東,精神科多摩総合,精神科小児総合,精神科松沢,精神科豊島,麻酔科広尾,麻酔科大塚,麻酔科駒込,麻酔科墨東,麻酔科多摩総合,麻酔科東部,麻酔科荏原,麻酔科豊島,放射線科駒込,病理駒込,病理多摩総合,救急科墨東,救急科多摩総合,総合診療広尾,総合診療墨東,総合診療多摩総合,総合診療駒込
都立・公社病院,広尾病院,救急・災害医療センター,三次救急医療・東京ＥＲ、島しょ医療、心臓病医療、脳血管疾患医療,478,－,○,,○,○,○,,,○,○,○,○,○,,,,,,○,,,,○,,－,○,○,○,○,○,○,○,,○,,,,－,,,○
都立・公社病院,大塚病院,母子・リウマチ医療センター,周産期・未熟児医療、リウマチ膠原病医療、障害者合併症医療、リハビリテーション医療,508,○,－,○,○,○,○,,○,○,○,,,○,,○,○,－,,○,,,,○,,○,－,○,○,○,○,○,○,○,,,,,,,,
都立・公社病院,駒込病院,がん・感染症医療センター,がん医療、感染症医療、造血幹細胞移植医療,833,○,○,－,○,○,○,,○,○,○,○,○,○,,－,,,,,,,,○,,○,○,－,○,○,○,○,○,－,－,,,,,,,－
都立・公社病院,墨東病院,救急・総合医療センター,三次救急医療・東京ＥＲ、周産期・未熟児医療、精神科救急医療、感染症医療、心臓病医療、リウマチ膠原病医療、リハビリテーション医療,765,○,○,○,－,,○,,○,○,－,,○,－,,○,,,－,,－,,,○,,○,○,○,－,○,○,○,○,,○,,－,,,－,,
都立・公社病院,多摩総合医療センター,多摩総合医療センター,三次救急医療・東京ＥＲ、周産期（産科部門）、結核医療、精神科救急医療、がん医療、難病医療、造血幹細胞移植医療（骨髄移植）、障害者歯科医療、心臓病医療、脳血管疾患医療、専門リハビリテーション医療、キャリーオーバー医療（移行期医療）,789,○,○,○,,－,○,○,,○,,－,－,○,－,○,－,,,,,－,○,○,,○,○,○,○,－,○,○,○,○,,－,,－,,,－,
都立・公社病院,神経病院,脳・神経難病医療センター,神経・筋難病を含む脳神経系疾患医療,304,○,○,○,,○,○,○,○,,,,,,○,,,,,,,,,,,○,○,○,○,○,○,○,○,,,○,,,,,,
都立・公社病院,小児総合医療センター,小児総合医療センター,小児専門医療、小児救急医療、小児精神医療、周産期医療（新生児部門）、小児結核医療、小児難病医療、小児造血幹細胞移植医療（骨髄移植）、小児臓器移植医療、思春期医療、障害者歯科医療、キャリーオーバー医療（移行期医療）、発達障害医療,561,,,,,,,,,,○,○,○,,○,○,,○,○,－,○,○,－,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,,,○,○
都立・公社病院,松沢病院,精神医療センター,精神科救急医療、精神科身体合併症医療,898,,○,○,,○,○,○,○,,,,,,,,,,,,○,○,○,－,○,,,,,,,,,,,,,,,,,
都立・公社病院,東部地域病院,区東部地域病院,救急医療、循環器医療,314,,,,○,,○,,,,○,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,,,,,,,,,
都立・公社病院,多摩南部地域病院,南多摩地域病院,救急医療、がん医療,318,,,,,○,○,○,,,,,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,
都立・公社病院,大久保病院,区西部地域病院,救急医療、生活習慣病、腎医療（透析、腎移植）、脳卒中医療、循環器医療、がん医療,304,○,,,,○,－,,○,○,,○,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,
都立・公社病院,多摩北部医療センター,北多摩北部地域病院,救急医療、がん医療,344,,,,,○,,－,,,,○,,,,○,,,,○,,,,,,○,○,○,○,○,－,○,○,,,○,,,,,,
都立・公社病院,荏原病院,区南部地域病院,救急医療、集学的がん医療、脳血管疾患医療,506,,,○,○,,○,,－,,○,,,○,,,,,,○,,,,○,,○,○,○,○,○,○,－,○,○,,,,,,,,
