"年月[西暦]","調査項目","設問","選択肢","件数[件]","(全体)[%]","(除不)[%]"
"202003","サービス全般について","Q12. 貴事業所では、利用者や家族からどのような苦情やトラブルを受けることがありますか。（あてはまるものすべてに〇）","サービスの質に関すること","42","31.8","33.1"
"202003","サービス全般について","Q12. 貴事業所では、利用者や家族からどのような苦情やトラブルを受けることがありますか。（あてはまるものすべてに〇）","ケアプランに関すること","7","5.3","5.5"
"202003","サービス全般について","Q12. 貴事業所では、利用者や家族からどのような苦情やトラブルを受けることがありますか。（あてはまるものすべてに〇）","職員の対応に関すること","63","47.7","49.6"
"202003","サービス全般について","Q12. 貴事業所では、利用者や家族からどのような苦情やトラブルを受けることがありますか。（あてはまるものすべてに〇）","説明や提供される情報の不足","17","12.9","13.4"
"202003","サービス全般について","Q12. 貴事業所では、利用者や家族からどのような苦情やトラブルを受けることがありますか。（あてはまるものすべてに〇）","利用者負担に関すること","22","16.7","17.3"
"202003","サービス全般について","Q12. 貴事業所では、利用者や家族からどのような苦情やトラブルを受けることがありますか。（あてはまるものすべてに〇）","その他","12","9.1","9.4"
"202003","サービス全般について","Q12. 貴事業所では、利用者や家族からどのような苦情やトラブルを受けることがありますか。（あてはまるものすべてに〇）","特にない","36","27.3","28.3"
"202003","サービス全般について","Q12. 貴事業所では、利用者や家族からどのような苦情やトラブルを受けることがありますか。（あてはまるものすべてに〇）","無回答","5","3.8",

"港区保健福祉基礎調査（事業所）・単純集計表・サービス全般についてQ12","Ver202003",,,,,
