市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考
132217,,東京都,清瀬市,清瀬市役所,キヨセシヤクショ,,東京都清瀬市中里5-842,1階,,,清瀬市,042-492-5111,,Kiyose_Free-WiFi,市民ホール,,
132217,,東京都,清瀬市,清瀬市役所,キヨセシヤクショ,,東京都清瀬市中里5-842,2階,,,清瀬市,042-492-5111,,Kiyose_Free-WiFi,防災防犯課周辺,,
132217,,東京都,清瀬市,清瀬市役所,キヨセシヤクショ,,東京都清瀬市中里5-842,4階,,,清瀬市,042-492-5111,,Kiyose_Free-WiFi,議員控え室周辺,,
132217,,東京都,清瀬市,男女共同参画センター,ダンジョキョウドウサンカクセンター,,東京都清瀬市元町1-2-11,4階,,,清瀬市,042-492-5111,,Kiyose_Free-WiFi,ロビー,,
132217,,東京都,清瀬市,生涯学習センター,ショウガイガクシュウセンター,,東京都清瀬市元町1-2-11,5階,,,清瀬市,042-495-7002,,Kiyose_Free-WiFi,ロビー及びギャラリー,,
132217,,東京都,清瀬市,生涯学習センター,ショウガイガクシュウセンター,,東京都清瀬市元町1-2-11,6階,,,清瀬市,042-495-7001,,Kiyose_Free-WiFi,ロビー,,
132217,,東京都,清瀬市,アミューホール,アミューホール,,東京都清瀬市元町1-2-11,7階,,,清瀬市,042-495-7001,,Kiyose_Free-WiFi,ロビー,,
132217,,東京都,清瀬市,清瀬けやきホール,キヨセケヤキホール,,東京都清瀬市元町1-6-6,1階,,,清瀬市,042-493-4011,,Kiyose_Free-WiFi,ロビー,,
132217,,東京都,清瀬市,児童センター,ジドウセンター,,東京都清瀬市中清戸3-235-5,1階,,,清瀬市,042-495-7700,,Kiyose_Free-WiFi,ロビー及び事務室,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
