"科目","金額[百万円]"
"年度","2017"
"期間（自）","20170401"
"期間（至）","20180331"
"経常費用","113109"
"経常費用 業務費用","73155"
"経常費用 業務費用 人件費","19607"
"経常費用 業務費用 人件費 職員給与費","15900"
"経常費用 業務費用 人件費 賞与等引当金繰入額","943"
"経常費用 業務費用 人件費 退職手当引当金繰入額","1366"
"経常費用 業務費用 人件費 その他","1399"
"経常費用 業務費用 物件費等","52587"
"経常費用 業務費用 物件費等 物件費","39370"
"経常費用 業務費用 物件費等 維持補修費","3696"
"経常費用 業務費用 物件費等 減価償却費","9520"
"経常費用 業務費用 物件費等 その他","0"
"経常費用 業務費用 その他の業務費用","961"
"経常費用 業務費用 その他の業務費用 支払利息","34"
"経常費用 業務費用 その他の業務費用 徴収不能引当金繰入額","177"
"経常費用 業務費用 その他の業務費用 その他","750"
"経常費用 移転費用","39954"
"経常費用 移転費用 補助金等","12220"
"経常費用 移転費用 社会保障給付","20659"
"経常費用 移転費用 他会計への繰出金","6716"
"経常費用 移転費用 その他","359"
"経常収益","11679"
"経常収益 使用料及び手数料","7719"
"経常収益 その他","3960"
"純経常行政コスト","-101430"
"臨時損失","3"
"臨時損失 災害復旧事業費","0"
"臨時損失 資産除売却損","3"
"臨時損失 投資損失引当金繰入額","0"
"臨時損失 損失補償等引当金繰入額","0"
"臨時損失 その他","0"
"臨時利益","0"
"臨時利益 資産売却益","0"
"臨時利益 その他","0"
"純行政コスト","-101434"

"一般会計財務書類（行政コスト計算書）(平成29年4月1日から平成30年3月31日)","Ver201803"
