"年度[西暦]","区分","18～20歳[人]","21～30歳[人]","31歳以上[人]","合計[人]"
"2018","合計","2","20","25","47"
"2019","合計","3","21","20","44"
"2020","合計","3","21","12","36"
"2021","合計","6","20","13","39"
"2022","障害別 知的障害","9","20","14","43"
"2022","障害別 身体障害","3","11","7","21"
"2022","障害別 （重複障害）","2","10","7","19"
"2022","障害等級 愛の手帳 1・2度","9","19","13","41"
"2022","障害等級 愛の手帳 3・4度","0","1","1","2"
"2022","障害等級 愛の手帳 手帳なし","1","1","0","2"
"2022","障害等級 身体障害者手帳 1・2級","2","6","5","13"
"2022","障害等級 身体障害者手帳 3・4級","1","5","1","7"
"2022","障害等級 身体障害者手帳 5・6級","0","0","1","1"
"2022","障害等級 身体障害者手帳 手帳なし","7","10","7","24"

"令和5年度港区行政資料集　生活介護事業（工房アミ）利用状況","Ver202303",,,,
