年月,西暦（年）,月,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
年・年度平均指数／平成18年平均,2006,,100.7,100.6,97.3,100.6,100.1,97.8,109.3,101,100.6,101.9,108.2,106.3,98
年・年度平均指数／平成19年平均,2007,,100.7,100.7,97.6,100.4,100.1,98.6,107.5,101.6,100.9,102,108.9,104.9,98.7
年・年度平均指数／平成20年平均,2008,,102.1,102.3,100.1,100.6,100.5,104.5,107.1,102.1,100.6,104.1,109.7,104.3,99.1
年・年度平均指数／平成21年平均,2009,,100.7,100.8,100.3,100.4,100.5,100.2,104.8,101.2,100.5,99,110.6,101.7,98.7
年・年度平均指数／平成22年平均,2010,,100,100,100,100,100,100,100,100,100,100,100,100,100
年・年度平均指数／平成23年平均,2011,,99.7,99.7,99.6,99.8,99.8,103.3,94.4,99.7,99.3,101.2,97.9,96,103.8
年・年度平均指数／平成18年度平均,2006,,100.6,100.6,97.3,100.5,100.1,97.9,108.8,101.1,100.6,101.9,108.4,105.9,98.3
年・年度平均指数／平成19年度平均,2007,,101,101,97.9,100.4,100.1,99.6,107.1,101.7,100.9,102.8,109.1,104.7,98.8
年・年度平均指数／平成20年度平均,2008,,102.1,102.3,100.8,100.5,100.6,105.1,107.1,101.9,100.7,102.6,109.9,104,99
年・年度平均指数／平成21年度平均,2009,,100.4,100.4,99.9,100.3,100.4,98.9,103.3,100.9,100.2,99.4,110.8,101,98.5
年・年度平均指数／平成22年度平均,2010,,99.9,99.9,100,99.9,99.9,100.5,98.6,99.8,99.9,100.1,97.8,99,101.3
年・年度平均指数／平成23年度平均,2011,,99.8,99.8,99.9,99.7,99.7,104.5,93.6,99.9,99.1,101.5,98,95.5,103.7
前年(度)比(％)／平成18年平均,2006,,0.3,0.3,0.5,0,0,3.6,-2.1,0.8,-0.6,0.3,0.7,-1.5,0.9
前年(度)比(％)／平成19年平均,2007,,0,0.1,0.3,-0.2,0,0.8,-1.6,0.6,0.3,0.1,0.7,-1.3,0.8
前年(度)比(％)／平成20年平均,2008,,1.4,1.6,2.6,0.2,0.4,6,-0.3,0.5,-0.3,2,0.7,-0.5,0.4
前年(度)比(％)／平成21年平均,2009,,-1.4,-1.5,0.2,-0.2,0,-4.2,-2.2,-0.9,-0.1,-4.9,0.9,-2.5,-0.4
前年(度)比(％)／平成22年平均,2010,,-0.7,-0.8,-0.3,-0.4,-0.5,-0.2,-4.6,-1.2,-0.5,1,-9.6,-1.7,1.3
前年(度)比(％)／平成23年平均,2011,,-0.3,-0.3,-0.4,-0.2,-0.3,3.3,-5.6,-0.3,-0.7,1.2,-2.1,-4,3.8
前年(度)比(％)／平成18年度平均,2006,,0.2,0.3,0.7,-0.1,0,2.7,-1.8,0.7,-0.5,0.2,0.7,-1.3,1.1
前年(度)比(％)／平成19年度平均,2007,,0.4,0.4,0.6,-0.1,0,1.7,-1.5,0.6,0.3,0.9,0.7,-1.1,0.6
前年(度)比(％)／平成20年度平均,2008,,1.1,1.3,3,0.1,0.5,5.5,0,0.2,-0.2,-0.2,0.7,-0.7,0.2
前年(度)比(％)／平成21年度平均,2009,,-1.7,-1.9,-0.9,-0.2,-0.2,-5.9,-3.5,-1,-0.5,-3.2,0.9,-2.9,-0.5
前年(度)比(％)／平成22年度平均,2010,,-0.4,-0.4,0.2,-0.4,-0.5,1.7,-4.1,-0.9,-0.2,0.9,-13,-1.1,3.2
前年(度)比(％)／平成23年度平均,2011,,-0.1,0,-0.1,-0.2,-0.2,4,-5,0.1,-0.8,1.3,0.2,-3.6,2.3
月別指数／平成23年9月,2011,9,99.9,99.9,99.6,99.7,99.7,104.7,92.3,102,99.2,101.1,97.9,96.5,103.7
月別指数／平成23年10月,2011,10,100,100,100.4,99.7,99.7,105,92.2,102.4,99,100.7,97.9,96.1,103.6
月別指数／平成23年11月,2011,11,99.4,99.3,99,99.7,99.7,105.4,91.8,102.9,98.9,100.7,97.9,93.8,103.7
月別指数／平成23年12月,2011,12,99.4,99.4,99.2,99.7,99.7,105.6,91.1,102.1,98.6,101,97.9,93.9,103.7
月別指数／平成24年1月,2012,1,99.6,99.7,101,99.6,99.7,105.5,94.2,96.1,98.7,101.3,98,92.9,103.5
月別指数／平成24年2月,2012,2,99.8,99.9,101.2,99.6,99.6,105.5,93.5,96,98.5,101,98.1,94.8,103.5
月別指数／平成24年3月,2012,3,100.3,100.4,101.3,99.6,99.6,106.2,93.2,99.2,98.5,102.5,98.1,95.4,103.6
月別指数／平成24年4月,2012,4,100.4,100.5,100.6,99.5,99.6,106.8,93.3,101.4,98.6,102.9,98.3,95.7,103.7
月別指数／平成24年5月,2012,5,100.1,100.2,100.2,99.5,99.6,106.7,92.3,101.2,98.9,102.3,98.3,95.3,103.7
月別指数／平成24年6月,2012,6,99.6,99.6,99.5,99.5,99.6,106.7,91.9,100.9,98.8,100.8,98.3,94.5,103.6
月別指数／平成24年7月,2012,7,99.3,99.3,99,99.4,99.6,106.8,91.4,97.9,98.6,100.6,98.3,94.7,103.5
月別指数／平成24年8月,2012,8,99.4,99.4,98.8,99.4,99.5,107.7,90.4,95.9,98.5,101.2,98.3,96.2,103.5
月別指数／平成24年9月,2012,9,99.6,99.6,98.7,99.4,99.4,109.2,90.4,101.8,98.6,101.4,98.3,94.5,103.6
前月比(％)／平成23年9月,2011,9,0,0,0.2,0,0,0.3,-0.9,6,0.1,-1.2,0,-1,0
前月比(％)／平成23年10月,2011,10,0.1,0.1,0.8,0,0,0.3,-0.1,0.4,-0.2,-0.4,0,-0.4,-0.1
前月比(％)／平成23年11月,2011,11,-0.6,-0.7,-1.4,0,0,0.3,-0.4,0.4,-0.1,0,0,-2.4,0.1
前月比(％)／平成23年12月,2011,12,0,0.1,0.2,0,0,0.2,-0.8,-0.7,-0.2,0.3,0,0.1,-0.1
前月比(％)／平成24年1月,2012,1,0.2,0.3,1.8,-0.1,0,-0.1,3.4,-5.9,0.1,0.3,0.1,-1.1,-0.1
前月比(％)／平成24年2月,2012,2,0.2,0.2,0.2,0,-0.1,0.1,-0.8,-0.1,-0.2,-0.3,0.1,2,0
前月比(％)／平成24年3月,2012,3,0.5,0.6,0.1,0,0,0.6,-0.3,3.4,-0.1,1.5,0,0.6,0.1
前月比(％)／平成24年4月,2012,4,0.1,0.1,-0.7,0,0,0.6,0,2.1,0.2,0.4,0.2,0.3,0.1
前月比(％)／平成24年5月,2012,5,-0.3,-0.3,-0.4,-0.1,0,0,-1,-0.2,0.2,-0.6,0,-0.5,0
前月比(％)／平成24年6月,2012,6,-0.5,-0.6,-0.7,0,0,-0.1,-0.5,-0.3,-0.1,-1.4,0,-0.8,-0.1
前月比(％)／平成24年7月,2012,7,-0.3,-0.3,-0.5,0,0,0.1,-0.6,-3,-0.1,-0.2,0,0.2,-0.1
前月比(％)／平成24年8月,2012,8,0.1,0.2,-0.2,0,-0.1,0.8,-1,-2,-0.2,0.6,0,1.6,0
前月比(％)／平成24年9月,2012,9,0.1,0.2,-0.1,0,0,1.4,0,6.1,0.1,0.2,0,-1.8,0.1
前年同月比(％)／平成23年9月,2011,9,0,0,-0.8,-0.2,-0.2,3.7,-6,0,-0.7,1.6,0.2,-2.6,5.3
前年同月比(％)／平成23年10月,2011,10,-0.2,-0.2,-0.2,-0.2,-0.1,4.2,-5.8,0.3,-1.2,1.4,0.2,-3.2,-0.6
前年同月比(％)／平成23年11月,2011,11,-0.5,-0.6,-1.2,-0.2,-0.1,4.9,-6.1,0,-1.2,1.6,0.2,-4.1,-0.5
前年同月比(％)／平成23年12月,2011,12,-0.2,-0.2,-0.1,-0.2,0,5.2,-6.7,0,-1.2,1.5,0.2,-3.8,-0.4
前年同月比(％)／平成24年1月,2012,1,0.1,0.2,1,-0.3,-0.1,4.8,-2.9,0.7,-1.1,1.3,0.2,-4.1,-0.5
前年同月比(％)／平成24年2月,2012,2,0.3,0.4,1.1,-0.3,-0.2,4.6,-3.5,0.8,-1.2,0.9,0.2,-1.9,-0.4
前年同月比(％)／平成24年3月,2012,3,0.5,0.7,1.5,-0.2,-0.2,4.7,-3.3,0.3,-0.8,1,0.3,-1.2,-0.2
前年同月比(％)／平成24年4月,2012,4,0.4,0.6,0.7,-0.3,-0.2,4.7,-3.4,-0.1,-0.6,0.9,0.3,-0.1,-0.2
前年同月比(％)／平成24年5月,2012,5,0.2,0.3,1,-0.4,-0.2,3.9,-3.9,-0.1,-1.3,0.3,0.3,-1.2,-0.2
