総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素原材料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,(参考)生産財(1)+(2),(参考)投資財注3)
品目数,,,1264,944,320,83,640,434,111,19,76,541,155,386,80,306,723,269
ウエイト,,,1000,813,187,78.6,517.1,337.7,61.3,61.7,56.4,404.3,131.2,273,82.8,190.2,595.7,193.6
平成19年平均,2007,,107.4,104,122.5,132.6,109.7,110.3,106.7,115,103.4,99.6,98.9,100,94.1,102.6,112.7,101.4
平成20年平均,2008,,113.2,108.7,133,165.2,115.7,114.3,113.4,132.9,108.1,99.9,98,100.9,91.1,105.2,122.3,102.9
平成21年平均,2009,,102.3,103,99.3,110.4,105.6,104.8,108.1,106.4,106.5,96.5,95.9,96.8,88.1,100.6,106.2,99.9
平成22年平均,2010,,103.5,102.9,106.3,126.8,106.3,105.6,107.5,111.3,104.3,95.4,94.4,95.8,84.4,100.7,109,98.7
平成23年平均,2011,,107.2,105,116.9,151.1,109.7,108,110,122.8,105.1,95.5,93.1,96.6,81.6,103.2,115.2,98.6
平成19年度平均,2007,,108.6,104.9,124.9,139.5,110.9,111.1,107.2,119.4,104.3,99.8,98.6,100.3,93.3,103.3,114.6,101.4
平成20年度平均,2008,,111.4,108.2,125.4,154.3,114.5,112.9,114,128.9,108.7,99.2,97.6,99.9,90.4,104.1,119.7,102.9
平成21年度平均,2009,,102.4,102.6,101.5,114.6,105.2,104.7,107,106.1,105.7,96.3,95.6,96.7,87.2,100.8,106.5,99.3
平成22年度平均,2010,,104.3,103.3,108.4,131.9,107.1,106.2,108.2,113.4,104.2,95.3,94,95.9,83.6,101.3,110.3,98.6
平成23年度平均,2011,,107.5,105.1,118,153.9,110,107.8,110.1,125.7,105.3,95.4,93,96.5,80.9,103.3,115.8,98.5
平成23年3月,2011,3,106.7,104.7,115.3,146.3,109.1,107.9,109.3,119.7,104.3,96,93.6,97.2,82.4,103.6,114,98.6
平成23年4月,2011,4,108.7,105.7,122.1,158.3,110.8,109.4,110.8,123.7,105,96.4,93.6,97.8,82.6,104.4,117.1,99.2
平成23年5月,2011,5,108.7,105.5,122.7,161.6,110.7,109.2,111,124.2,105,95.9,93,97.2,82,103.8,117.5,98.9
平成23年6月,2011,6,108.3,105.5,120.6,157.2,110.7,109.1,111,124.1,105.2,95.8,93.3,97,81.8,103.6,116.8,99
平成23年7月,2011,7,108.4,105.7,120.1,157.4,110.9,108.9,110.7,126.7,105.6,95.6,93.2,96.8,81.6,103.4,117,98.8
平成23年8月,2011,8,107.7,105.5,117.5,154.2,110.4,108.5,110.2,126.1,105.6,95.2,93,96.3,81.1,102.9,116.2,98.5
平成23年9月,2011,9,107.2,105.3,115.2,150.1,110.1,108,110.2,125.5,105.6,95.1,92.9,96.2,81.1,102.7,115.4,98.5
平成23年10月,2011,10,106.4,104.6,114.5,148.8,109,106.9,110.2,122.7,105.3,94.8,92.6,95.9,80.7,102.5,114.3,98.3
平成23年11月,2011,11,106.4,104.6,114.6,148.1,109.1,106.8,109.8,124.4,105.4,94.9,92.7,96,80.2,102.8,114.3,98.2
平成23年12月,2011,12,106.6,104.5,115.6,151.6,109,106.6,109.3,125,105.4,94.8,92.6,95.9,80,102.8,114.6,98
平成24年1月,2012,1,106.2,104.5,113.6,147.7,108.9,106.3,109.3,126,105.2,94.7,92.8,95.6,79.7,102.5,114,98.1
平成24年2月,2012,2,106.9,104.7,116.2,150.9,109.4,106.8,109.1,127.2,105.3,95.2,93.2,96.1,79.9,103.2,114.8,98.3
平成24年3月注1),2012,3,108.6,105.3,123.2,160.8,110.6,107.6,109.3,132.7,105.5,96,93.3,97.3,80.3,104.7,117.2,98.5
対前月比(%),,,1.6,0.6,6,6.6,1.1,0.7,0.2,4.3,0.2,0.8,0.1,1.2,0.5,1.5,2.1,0.2
対前年同月比(%),,,1.8,0.6,6.9,9.9,1.4,-0.3,0,10.9,1.2,0,-0.3,0.1,-2.5,1.1,2.8,-0.1
,,,,,,,,,,,,,,,,,,
東京の物価／平成24年4月,,,,,,,,,,,,,,,,,,
参考表３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,
注 1)  最新月の数値は速報値のため、後日訂正される場合がある。,,,,,,,,,,,,,,,,,,
注 3)  投資財：(3)＋(4)＋素原材料内建設用材料,,,,,,,,,,,,,,,,,,
２００５年＝１００／（平成１７年平均＝１００）,,,,,,,,,,,,,,,,,,
