年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1104かつお(100g)/円,1105かれい(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(輸入品)(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(ロース)(100g)/円,1212豚肉(もも肉)(100g)/円,1221鶏肉(100g)/円,1241レバー(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(100g)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(100g)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(100g)/円,1430えだまめ(100g)/円,1432さやいんげん(100g)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(100g)/円,1438生しいたけ(100g)/円,1442えのきだけ(100g)/円,1443しめじ(100g)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1513レモン(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(輸入品)(1kg)/円,1516いよかん(1kg)/円,1521なし(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541かき(果物)(1kg)/円,1551もも(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(100g)/円,1572さくらんぼ(100g)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成24年４月,2012,4,396,122,85,268,156,220,120,67,564,221,85,282,264,108,...,216,775,190,238,168,127,126,262,671,302,519,513,16,649,159,445,323,563,253,423,872,239,1073,669,126,...,197,378,516,709,786,107,160,53,75,...,625,...,505,278,382,...,...,...,...,...,...,...,...,130,...,211,845,178,210,301
平成24年５月,2012,5,393,101,77,240,139,211,101,67,571,215,98,289,263,109,...,196,784,197,234,165,126,125,196,702,208,547,409,16,621,175,418,363,559,187,405,847,247,1195,661,125,...,205,411,446,569,695,84,157,51,71,...,653,...,493,277,371,...,...,...,...,...,...,444,885,131,...,205,766,188,205,298
平成24年５月上旬,2012,5上,396,104,75,226,137,...,104,67,579,212,94,...,...,...,...,...,...,...,...,...,...,...,198,628,208,514,384,...,617,178,...,...,...,181,...,...,255,1189,...,...,...,209,408,446,597,732,86,...,...,...,...,655,...,...,...,...,...,...,...,...,...,...,463,953,130,...,204,...,181,208,293
平成24年５月中旬,2012,5中,393,106,77,248,137,211,98,67,579,211,95,289,263,109,...,196,784,197,234,165,126,125,180,711,192,583,438,16,636,180,418,363,559,167,405,847,249,1200,661,125,...,214,413,455,567,716,89,157,51,71,...,646,...,493,277,371,...,...,...,...,...,...,444,949,133,...,202,766,203,204,304
平成24年５月下旬,2012,5下,389,93,78,247,143,...,101,67,553,222,104,...,...,...,...,...,...,...,...,...,...,...,209,767,224,545,404,...,609,167,...,...,...,215,...,...,238,1195,...,...,...,191,411,437,541,637,78,...,...,...,...,658,...,...,...,...,...,...,...,...,...,...,426,752,131,...,208,...,179,203,296
平成24年６月上旬,2012,6上,390,104,100,276,163,...,98,69,548,220,98,...,...,...,...,...,...,...,...,...,...,...,146,596,206,577,331,...,564,152,...,...,...,167,...,...,232,1327,...,...,165,180,398,404,555,640,70,...,...,...,...,655,...,...,...,...,...,...,1960,...,...,...,367,635,...,475,203,...,177,197,287
平成24年６月中旬,2012,6中,381,96,82,293,157,216,106,67,567,206,109,293,268,111,...,193,788,191,243,171,126,125,117,592,193,589,266,16,532,156,441,315,672,151,354,813,233,1824,680,129,147,171,408,373,574,609,64,156,49,69,...,678,...,486,289,347,...,...,1720,...,...,...,357,603,...,300,195,757,175,195,285
銘柄改正年月,,,,,,H23.7,,,,,,,,,H24.1,,,,,,,,,,,,,,,H23.7,,,,,,,,,,,,,H24.1,,,,,,,,,,,,H23.9,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成24年6月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
