,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,,,
品種,,13号地その2,,,,,,大井,,,,,,,,,,,,品種,,,,,,,,
,,青海コンテナふ頭(埠頭㈱),,,お台場ライナーふ頭,,,合計,,,大井コンテナふ頭,,,大井水産物ふ頭,,,大井食品ふ頭（OL）,,,,,,,,,,,
,,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,,,,,,,,,
合計,,"7,044,939","1,507,152","5,537,787","709,775","491,576","218,199","25,607,073","8,035,663","17,571,410","25,212,831","8,034,645","17,178,186","4,489","1,018","3,471","244,286",-,"244,286",合計,,,,,,,,
農水産品,,"615,578","61,118","554,460","1,967",-,"1,967","3,512,855","186,653","3,326,202","3,118,613","185,635","2,932,978","4,489","1,018","3,471","244,286",-,"244,286",農水産品,,,,,,,,
1,麦,"2,484",-,"2,484",306,-,306,"265,372",-,"265,372","21,086",-,"21,086",-,-,-,"244,286",-,"244,286",1,麦,,,,,,,
2,米,"10,293",243,"10,050",-,-,-,"11,839","2,632","9,207","11,839","2,632","9,207",-,-,-,-,-,-,2,米,,,,,,,
3,とうもろこし,657,-,657,-,-,-,"6,234",120,"6,114","6,234",120,"6,114",-,-,-,-,-,-,3,とうもろこし,,,,,,,
4,豆類,"26,315",-,"26,315","1,500",-,"1,500","108,825",316,"108,509","108,825",316,"108,509",-,-,-,-,-,-,4,豆類,,,,,,,
5,その他雑穀,"1,995",-,"1,995",-,-,-,"5,338",19,"5,319","5,338",19,"5,319",-,-,-,-,-,-,5,その他雑穀,,,,,,,
6,野菜・果物,"213,146","5,660","207,486",-,-,-,"878,119","18,371","859,748","733,173","18,371","714,802",-,-,-,-,-,-,6,野菜・果物,,,,,,,
7,綿花,135,-,135,-,-,-,201,-,201,201,-,201,-,-,-,-,-,-,7,綿花,,,,,,,
8,その他農産品,"33,722","1,210","32,512",161,-,161,"152,368","5,897","146,471","152,368","5,897","146,471",-,-,-,-,-,-,8,その他農産品,,,,,,,
9,羊毛,90,-,90,-,-,-,594,-,594,594,-,594,-,-,-,-,-,-,9,羊毛,,,,,,,
10,その他畜産品,"165,968","10,649","155,319",-,-,-,"1,367,284","8,130","1,359,154","1,367,284","8,130","1,359,154",-,-,-,-,-,-,10,その他畜産品,,,,,,,
11,水産品,"160,773","43,356","117,417",-,-,-,"716,681","151,168","565,513","711,671","150,150","561,521","4,489","1,018","3,471",-,-,-,11,水産品,,,,,,,
林産品,,"373,354","3,329","370,025","40,332",-,"40,332","372,053","3,256","368,797","372,053","3,256","368,797",-,-,-,-,-,-,林産品,,,,,,,,
12,原木,861,556,305,-,-,-,"2,252",63,"2,189","2,252",63,"2,189",-,-,-,-,-,-,12,原木,,,,,,,
13,製材,"345,649","2,617","343,032","40,332",-,"40,332","317,118","2,873","314,245","317,118","2,873","314,245",-,-,-,-,-,-,13,製材,,,,,,,
14,樹脂類,"15,407",68,"15,339",-,-,-,"24,134",144,"23,990","24,134",144,"23,990",-,-,-,-,-,-,14,樹脂類,,,,,,,
15,木材チップ,"1,935",54,"1,881",-,-,-,"9,130",39,"9,091","9,130",39,"9,091",-,-,-,-,-,-,15,木材チップ,,,,,,,
16,その他林産品,514,34,480,-,-,-,277,3,274,277,3,274,-,-,-,-,-,-,16,その他林産品,,,,,,,
17,薪炭,"8,988",-,"8,988",-,-,-,"19,142",134,"19,008","19,142",134,"19,008",-,-,-,-,-,-,17,薪炭,,,,,,,
鉱産品,,"63,790","2,042","61,748",-,-,-,"139,731","4,505","135,226","139,731","4,505","135,226",-,-,-,-,-,-,鉱産品,,,,,,,,
18,石炭,"7,379",1,"7,378",-,-,-,"19,607",-,"19,607","19,607",-,"19,607",-,-,-,-,-,-,18,石炭,,,,,,,
19,鉄鉱石,-,-,-,-,-,-,174,21,153,174,21,153,-,-,-,-,-,-,19,鉄鉱石,,,,,,,
20,金属鉱,195,-,195,-,-,-,"7,909",6,"7,903","7,909",6,"7,903",-,-,-,-,-,-,20,金属鉱,,,,,,,
21,砂利・砂,"6,214",23,"6,191",-,-,-,"11,082",126,"10,956","11,082",126,"10,956",-,-,-,-,-,-,21,砂利・砂,,,,,,,
22,石材,"13,805",840,"12,965",-,-,-,"31,903",103,"31,800","31,903",103,"31,800",-,-,-,-,-,-,22,石材,,,,,,,
23,原油,195,-,195,-,-,-,"1,665",-,"1,665","1,665",-,"1,665",-,-,-,-,-,-,23,原油,,,,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,りん鉱石,,,,,,,
25,石灰石,105,-,105,-,-,-,989,-,989,989,-,989,-,-,-,-,-,-,25,石灰石,,,,,,,
26,原塩,"1,601",-,"1,601",-,-,-,"4,003",33,"3,970","4,003",33,"3,970",-,-,-,-,-,-,26,原塩,,,,,,,
27,非金属鉱物,"34,296","1,178","33,118",-,-,-,"62,399","4,216","58,183","62,399","4,216","58,183",-,-,-,-,-,-,27,非金属鉱物,,,,,,,
金属機械工業品,,"1,655,500","513,440","1,142,060","77,781","26,957","50,824","7,844,865","4,035,143","3,809,722","7,844,865","4,035,143","3,809,722",-,-,-,-,-,-,金属機械工業品,,,,,,,,
28,鉄鋼,"14,221","3,785","10,436","15,159","15,159",-,"49,062","24,055","25,007","49,062","24,055","25,007",-,-,-,-,-,-,28,鉄鋼,,,,,,,
29,鋼材,"63,559","54,176","9,383","23,346","3,009","20,337","203,418","167,742","35,676","203,418","167,742","35,676",-,-,-,-,-,-,29,鋼材,,,,,,,
30,非鉄金属,"21,111","7,553","13,558",-,-,-,"137,460","63,609","73,851","137,460","63,609","73,851",-,-,-,-,-,-,30,非鉄金属,,,,,,,
31,金属製品,"284,018","66,455","217,563","17,184",-,"17,184","829,486","198,626","630,860","829,486","198,626","630,860",-,-,-,-,-,-,31,金属製品,,,,,,,
32,鉄道車両,207,3,204,-,-,-,"3,090",507,"2,583","3,090",507,"2,583",-,-,-,-,-,-,32,鉄道車両,,,,,,,
