"年度","区分","18～20歳[人]","21～30歳[人]","31歳以上[人]","合計[人]"
"2016","合計","5","16","24","45"
"2017","合計","4","16","25","45"
"2018","合計","2","20","25","47"
"2019","合計","3","21","20","44"
"2020","障害別 知的障害","2","21","12","35"
"2020","障害別 身体障害","1","13","5","19"
"2020","障害別 （重複障害）","0","13","5","18"
"2020","障害等級 愛の手帳 1・2度","2","20","11","33"
"2020","障害等級 愛の手帳 3・4度","0","1","1","2"
"2020","障害等級 愛の手帳 手帳なし","1","0","0","1"
"2020","障害等級 身体障害者手帳 1・2級","1","7","3","11"
"2020","障害等級 身体障害者手帳 3・4級","0","5","1","6"
"2020","障害等級 身体障害者手帳 5・6級","0","1","1","2"
"2020","障害等級 身体障害者手帳 手帳なし","2","8","7","17"

"令和3年度港区行政資料集　生活介護事業（工房アミ）利用状況","Ver202103",,,,
