"年月[西暦]","調査項目","設問","政策目標","調査回答者の属性種別","調査回答者の属性","調査数[人]","強くそう思う[人]","どちらかといえばそう思う[人]","あまりそう思わない[人]","全くそう思わない[人]","無回答[人]"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(2)バリアフリーのまちづくりが進んでいる","全体",,"658","35","267","297","41","18"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(2)バリアフリーのまちづくりが進んでいる","性・年代別","男性（計）","248","14","116","103","13","2"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(2)バリアフリーのまちづくりが進んでいる","性・年代別","男性 18～29歳","23","1","13","6","3","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(2)バリアフリーのまちづくりが進んでいる","性・年代別","男性 30～39歳","35","2","19","13","1","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(2)バリアフリーのまちづくりが進んでいる","性・年代別","男性 40～49歳","41","3","19","18","1","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(2)バリアフリーのまちづくりが進んでいる","性・年代別","男性 50～59歳","49","3","24","19","3","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(2)バリアフリーのまちづくりが進んでいる","性・年代別","男性 60～69歳","39","1","17","17","4","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(2)バリアフリーのまちづくりが進んでいる","性・年代別","男性 70歳以上","60","4","24","29","1","2"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(2)バリアフリーのまちづくりが進んでいる","性・年代別","男性 無回答","1","0","0","1","0","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(2)バリアフリーのまちづくりが進んでいる","性・年代別","女性（計）","400","21","148","190","28","13"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(2)バリアフリーのまちづくりが進んでいる","性・年代別","女性 18～29歳","28","4","9","13","2","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(2)バリアフリーのまちづくりが進んでいる","性・年代別","女性 30～39歳","65","7","30","26","1","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(2)バリアフリーのまちづくりが進んでいる","性・年代別","女性 40～49歳","95","6","41","38","6","4"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(2)バリアフリーのまちづくりが進んでいる","性・年代別","女性 50～59歳","82","4","25","46","7","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(2)バリアフリーのまちづくりが進んでいる","性・年代別","女性 60～69歳","55","0","21","26","5","3"
