行,EPSGコード,経度,緯度,施設名,住所,電話番号,関連リンク
1,EPSG:6668,139.4219748,35.574259,子どもセンターただＯＮ,東京都町田市忠生1-11-1,042-794-6722,https://kosodate-machida.tokyo.jp/soshiki/4/2/10/tadaon_top.html
2,EPSG:6668,139.4659195,35.58987883,子どもセンターつるっこ,東京都町田市大蔵町1913,042-708-0236,https://kosodate-machida.tokyo.jp/soshiki/4/2/10/tsurukko.html
3,EPSG:6668,139.3215009,35.60829497,子どもセンターぱお,東京都町田市相原町2025-2,042-775-5258,https://kosodate-machida.tokyo.jp/soshiki/4/2/10/paotop.html
4,EPSG:6668,139.3671777,35.60437775,子どもセンターぱお分館,東京都町田市小山ヶ丘4-1-13ゲートヒルズ多摩境パークフロント3階,042-770-5057,https://kosodate-machida.tokyo.jp/soshiki/4/2/10/waaaotop.html
5,EPSG:6668,139.4670211,35.52387322,子どもセンターばあん,東京都町田市金森4-5-7,042-788-4181,https://kosodate-machida.tokyo.jp/soshiki/4/2/10/508.html
6,EPSG:6668,139.4488871,35.54818772,子どもセンターまあち,東京都町田市中町1-31-22,042-794-7360,http://kosodate-machida.tokyo.jp/soshiki/4/2/10/march_top3960.html
7,EPSG:6668,139.4590611,35.56284289,玉川学園子どもクラブころころ児童館,東京都町田市玉川学園3-35-45,042-710-1475,https://kosodate-machida.tokyo.jp/soshiki/4/2/10/510.html
8,EPSG:6668,139.4578753,35.55361169,南大谷子どもクラブ,東京都町田市南大谷264都営4号棟1階,042-739-6791,https://kosodate-machida.tokyo.jp/soshiki/4/2/10/509.html
9,EPSG:6668,139.4307672,35.55776556,木曽子どもクラブ「きそっち」,東京都町田市木曽東1-6-40,042-729-2260,https://kosodate-machida.tokyo.jp/soshiki/4/2/10/5484.html
10,EPSG:6668,139.3718709,35.59510767,小山子どもクラブ「さん」,東京都町田市小山町1165-3,042-794-8033,https://kosodate-machida.tokyo.jp/soshiki/4/2/10/7592.html
11,EPSG:6668,139.4886551,35.57380756,三輪子どもクラブ「MIWA～GO」,東京都町田市三輪緑山3-25-2,044-299-6307,https://kosodate-machida.tokyo.jp/soshiki/4/2/10/7744.html
12,EPSG:6668,139.4693211,35.51004264,南町田子どもクラブ「つみき」,東京都町田市鶴間3-1-1パークライフ棟,042-850-6035,https://kosodate-machida.tokyo.jp/soshiki/4/2/10/7532.html
13,EPSG:6668,139.3337618,35.60436614,市立こうさぎ保育園,東京都町田市相原町792,042-772-3034,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/1/2714.html
14,EPSG:6668,139.4290261,35.56861997,市立山崎保育園（忠生地域子育て相談センター）,東京都町田市山崎1-2-14,042-792-0155,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2734.html
15,EPSG:6668,139.467863,35.58861389,市立大蔵保育園（鶴川地域子育て相談センター）,東京都町田市大蔵町1984,042-735-3600,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2746.html
16,EPSG:6668,139.4477988,35.54451211,市立町田保育園,東京都町田市原町田6-26-15,042-722-2679,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/3/2684.html
17,EPSG:6668,139.459747,35.53504242,市立金森保育園（南地域子育て相談センター）,東京都町田市金森東1-12-16,042-723-3664,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2696.html
18,EPSG:6668,139.4470388,35.54831906,町田シバヒロ,東京都町田市中町1-20-23,042-724-4816,http://www.machida-shibahiro.jp/
