一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準累計,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
357,江戸川区臨海町5-1,35.643536,139.868332,JGD2011,都市高速高速湾岸線,a,2010-11-01,2010-11-02,2,6,5,1.2,70,68
358,江戸川区江戸川1-36,35.686520,139.907822,JGD2011,都道新荒川葛西堤防線（篠崎街道）,a,2010-11-01,2010-11-02,4,2,3,1.2,69,64
359,江戸川区江戸川5-7,35.676693,139.885086,JGD2011,都道新荒川葛西堤防線（篠崎街道）,b,2010-11-01,2010-11-02,4,2,3,1.2,69,64
360,江戸川区東葛西9-12,35.657635,139.883881,JGD2011,都道新荒川葛西堤防線（篠崎街道）,b,2010-11-01,2010-11-02,4,2,1,1.2,68,64
361,江戸川区南葛西3-20,35.652016,139.871017,JGD2011,区道Ａ０２５０号（左近通り）,b,2010-11-01,2010-11-02,5,6,5,1.2,65,61
362,江戸川区東葛西7-28,35.657524,139.880386,JGD2011,区道Ａ０２８１号,b,2010-11-01,2010-11-02,5,4,5,1.2,63,58
363,江戸川区臨海町5丁目1,35.643536,139.868332,JGD2011,高速湾岸線,A,2010-11-01,2010-11-02,2,6,4.7,1.2,70,68
364,江戸川区江戸川1丁目36,35.686520,139.907822,JGD2011,都道新荒川葛西堤防線（篠崎街道）,A,2010-11-01,2010-11-02,4,2,2.5,1.2,69,64
365,江戸川区江戸川5丁目7,35.676693,139.885086,JGD2011,都道新荒川葛西堤防線（篠崎街道）,B,2010-11-01,2010-11-02,4,2,2.6,1.2,69,64
366,江戸川区東葛西9丁目13,35.657013,139.883896,JGD2011,都道新荒川葛西堤防線（篠崎街道）,B,2010-11-01,2010-11-02,4,2,1.1,1.2,68,64
367,江戸川区南葛西3丁目19,35.652126,139.869980,JGD2011,区道A０２５０,B,2010-11-01,2010-11-02,5,6,4.9,1.2,65,61
368,江戸川区東葛西7丁目28,35.657524,139.880386,JGD2011,区道A０２８１,B,2010-11-01,2010-11-02,5,4,4.8,1.2,63,58
