一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準累計,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
442,府中市美好町2-4,35.672638,139.466782,JGD2011,国道２０号(甲州街道),c,2011-01-18,2011-01-21,3,4,3,2,76,75
443,府中市西府町2-16-1,35.674436,139.455932,JGD2011,国道２０号(甲州街道),c,2011-02-01,2011-02-04,3,4,2,2,75,74
444,府中市矢崎町1-5,35.663582,139.479401,JGD2011,都道９号線(府中街道),b,2011-03-02,2011-03-04,4,2,4,1.5,69,66
445,府中市分梅町3-50,35.665642,139.459076,JGD2011,都道１８号線(鎌倉街道),b,2011-02-22,2011-02-25,4,4,3,2.2,69,66
446,府中市若松町3-39,35.675034,139.506744,JGD2011,都道１１０号線(人見街道),a,2011-03-08,2011-03-15,4,2,1,1.5,61,57
447,府中市浅間町4-5,35.683331,139.499557,JGD2011,都道２４８号線(新小金井街道),b,2011-01-11,2011-01-14,4,2,4,1.5,68,66
448,府中市緑町1-29,35.674267,139.486389,JGD2011,都道１５号線(小金井街道）,b,2011-01-25,2011-01-28,4,2,1.8,1.5,65,62
449,府中市四谷5-44,35.663307,139.440155,JGD2011,市道多摩川通り,c,2011-02-07,2011-02-10,6,2,5,1.5,70,67
450,府中市押立町1-38,35.659218,139.512726,JGD2011,市道白糸台通り,a,2011-01-04,2011-01-07,6,2,3,1.5,66,67
451,府中市白糸台3-14,35.666061,139.516342,JGD2011,国道２０号,A,2010-10-18,2010-10-19,3,4,3,1.2,71,68
452,府中市美好町1-31,35.673370,139.468872,JGD2011,国道２０号,C,2010-10-18,2010-10-19,3,4,3,1.2,69,67
453,府中市四谷4-3,35.666695,139.445465,JGD2011,都道府中相模原線,A,2010-10-26,2010-10-27,4,4,5.0,1.2,68,65
