一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
22,千代田区外神田6丁目13,35.703175,139.770721,JGD2011,区道千第６３８号,C,2010-12-01,2010-12-02,5,4,4.3,1.2,68,67
23,千代田区岩本町2丁目6,35.693592,139.776245,JGD2011,区道千第７９２号,C,2010-12-01,2010-12-02,5,5,3.4,1.2,66,63
40,中央区日本橋人形町3丁目4,35.686306,139.781021,JGD2011,区道中日第６号線,C,2010-11-01,2010-11-02,5,4,1.5,1.2,70,68
89,台東区雷門1丁目13-8,35.711060,139.794006,JGD2011,区道台第８号（雷門通り）,c,2010-12-08,2010-12-10,5,2,5.5,1.2,66,63
92,台東区雷門1丁目13-8,35.711060,139.794006,JGD2011,区道台第７８号,B,2010-12-09,2010-12-10,5,4,5.5,1.2,66,63
113,墨田区本所4丁目10,35.703804,139.806885,JGD2011,区道墨１０５号,C,2010-11-24,2010-11-25,5,4,2.7,1.2,69,63
140,江東区塩浜1丁目5-5,35.659657,139.801224,JGD2011,区道江１４４,C,2010-11-29,2010-11-30,5,6,6.5,1.2,64,60
141,江東区辰巳1丁目8-43,35.650688,139.808884,JGD2011,区道江２５９、３０４,A,2010-11-29,2010-11-30,5,4,11.5,1.2,62,57
142,江東区潮見1丁目14-11,35.656734,139.814011,JGD2011,区道江４１６、４００,C,2010-11-29,2010-11-30,5,4,4.5,1.2,62,60
143,江東区塩浜2丁目11-6,35.663826,139.809311,JGD2011,"区道江174,175,368,459",C,2010-11-29,2010-11-30,5,4,4,1.2,68,65
264,豊島区西池袋1丁目8,35.729881,139.708237,JGD2011,区道１２－７３０,C,2010-11-29,2010-11-30,5,4,4.7,1.2,66,63
361,江戸川区南葛西3-20,35.652016,139.871017,JGD2011,区道Ａ０２５０号（左近通り）,b,2010-11-01,2010-11-02,5,6,5,1.2,65,61
362,江戸川区東葛西7-28,35.657524,139.880386,JGD2011,区道Ａ０２８１号,b,2010-11-01,2010-11-02,5,4,5,1.2,63,58
367,江戸川区南葛西3丁目19,35.652126,139.869980,JGD2011,区道A０２５０,B,2010-11-01,2010-11-02,5,6,4.9,1.2,65,61
368,江戸川区東葛西7丁目28,35.657524,139.880386,JGD2011,区道A０２８１,B,2010-11-01,2010-11-02,5,4,4.8,1.2,63,58
387,八王子市元本郷町1-3-10,35.662373,139.321396,JGD2011,市道１７号線(国道20号バイパス),c,2010-12-06,2010-12-07,5,4,2.9,1.2,73,69
433,青梅市新町8-20,35.784454,139.309372,JGD2011,市道幹12号線,b,2010-10-12,2010-10-15,5,4,4.5,1.2,67,64
