一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準累計,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
498,日野市多摩平4-3-1,35.667109,139.378379,JGD2011,国道２０号（日野バイパス）,a,2010-11-10,2010-11-17,3,4,3,1.3,69,66
499,日野市多摩平7-23-23,35.669273,139.389725,JGD2011,国道２０号（日野バイパス）,a,2010-11-17,2010-11-24,3,4,2,1.3,66,63
500,日野市万願寺6-35-13,35.669601,139.410080,JGD2011,国道２０号（日野バイパス）,b,2010-11-24,2010-12-01,3,4,3,1.3,65,62
501,日野市石田1-11-1,35.668066,139.420638,JGD2011,都道５０３号線（相模原立川線）,a,2010-12-08,2010-12-15,4,3,4,1.3,65,60
502,日野市三沢1-19-1,35.659542,139.421097,JGD2011,都道稲城日野線（川崎街道）,a,2010-12-15,2010-12-22,4,2,5,1.3,62,60
503,日野市旭が丘1-8,35.657703,139.375183,JGD2011,都道１５５号線（町田平山八王子線）,a,2011-01-05,2011-01-12,4,3,3,1.3,67,62
504,日野市平山5-12-16,35.647003,139.383423,JGD2011,都道１７３号線（北野街道）,c,2011-01-12,2011-01-19,4,2,2,1.3,69,67
505,日野市平山3-8-8,35.646694,139.385310,JGD2011,都道１５５号線（町田平山八王子線）,a,2011-01-19,2011-01-26,4,2,2,1.3,68,63
506,日野市日野本町7-5-14,35.678725,139.399515,JGD2011,都道２５６号線（八王子国立線）,a,2011-02-02,2011-02-09,4,2,2,1.3,66,62
507,日野市日野本町7-5,35.679592,139.399765,JGD2011,国道２０号,C,2010-10-26,2010-10-27,3,2,4.5,1.2,68,64
