一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準累計,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
1,千代田区神田神保町2-15,35.695442,139.757939,JGD2011,都道３０１号（白山通り）,c,2010-06-01,2010-06-08,4,6,8.8 ,1.5,70,68
2,千代田区麹町6-2,35.685215,139.733078,JGD2011,国道２０号（新宿通り）,c,2010-06-01,2010-06-03,3,6,6.9 ,1.5,66,64
3,千代田区九段南1-1,35.693378,139.754913,JGD2011,都道４０１号（内堀通り）,b,2010-07-06,2010-07-08,4,4,1.7 ,1.5,66,64
4,千代田区飯田橋4-15-14,35.700893,139.746700,JGD2011,都道８号（目白通り）,c,2010-07-06,2010-07-08,4,5,4.4 ,1.5,70,69
5,千代田区平河町2-5-1２－５－１,35.680577,139.738639,JGD2011,区道２２０号（プリンス通り）,b,2010-07-06,2010-07-08,6,2,1.9 ,1.5,65,62
6,千代田区九段南3-8-14,35.692982,139.742935,JGD2011,都道３０２号（靖国通り）,c,2010-09-28,2010-09-30,4,5,4.5 ,1.5,69,66
7,千代田区神田須田町1-3,35.696018,139.769287,JGD2011,都道３０２号（靖国通り）,c,2010-09-28,2010-09-30,4,6,6.0 ,1.5,70,68
8,千代田区東神田2-10-18,35.695507,139.780655,JGD2011,都道３０２号（靖国通り）,c,2010-09-28,2010-09-30,4,6,6.0 ,1.5,73,70
9,千代田区外神田3-16-12,35.702534,139.771484,JGD2011,都道４３７号（中央通り）,c,2010-10-26,2010-10-28,4,6,6.6 ,1.5,69,67
10,千代田区富士見1-4-4,35.698372,139.746094,JGD2011,区道２７０号（早稲田通り）,c,2010-10-26,2010-10-28,6,1,2.7 ,1.5,65,59
11,千代田区神田神保町2-15２－15,35.695426,139.757963,JGD2011,都道３０１号（白山通り）,c,2010-11-09,2010-11-16,4,5,8.8 ,1.5,71,68
12,千代田区神田岩本町15,35.696655,139.775024,JGD2011,国道４号（日光街道）,c,2010-11-09,2010-11-16,3,7,7.0 ,1.5,69,67
13,千代田区旧和泉橋出張所４階,35.697286,139.775007,JGD2011,首都高速１号（上野線）,c,2010-11-09,2010-11-16,2,4,18.2 ,13.6,71,68
14,千代田区岩本町2-8-10,35.692783,139.776947,JGD2011,区道７９２号（水天宮通り）,c,2010-10-26,2010-10-28,6,5,3.8 ,1.5,67,64
15,千代田区丸の内1-1-3,35.684478,139.762219,JGD2011,国道１号（日比谷通り）,c,2011-02-01,2011-02-03,3,7,5 ,1.5,67,64
16,千代田区日比谷公園,35.673889,139.756195,JGD2011,国道１号（晴海通り）,b,2011-02-01,2011-02-03,3,10,3.4 ,1.5,70,69
17,千代田区霞ヶ関2-1,35.676193,139.751129,JGD2011,国道２０号（内堀通り）,c,2011-02-01,2011-02-03,3,8,4.0 ,1.5,73,70
