"対象","障害","種目","区分","対象者","内容","基準額[円]","耐用年数[年]"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","視覚障害","点字ディスプレイ","給付","①学齢児以上で視覚障害２級以上の身体障害者（児）②聴覚障害の重度重複障害者（児）（原則として視覚障害2級以上かつ聴覚障害2級）であって、必要と認められるもの","文字等のコンピュ－タ－の画面情報を点字等により示すことができるもの","383500","6"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","視覚障害","音響案内装置（学齢児以上）","給付","視覚障害に係る障害の程度が1級または2級のもの（2級の者は、送信機のみに限る。）","視覚障害者（児）が容易に使用し得るもの　送信機は「歩行時間延長信号機用小型送信機」のこと","51000（送信機のみ15000）","10"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","視覚障害","音声ICタグレコーダー（学齢児以上）","給付","視覚障害に係る障害の程度が1級または2級のもの","物の名前や情報の確認を音声で知らせるもので、視覚障害者（児）が容易に使用し得るもの","58000","6"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","視覚障害","音声式体温計（学齢児以上）","給付","視覚障害に係る障害の程度が1級または2級のもの（視覚障害者のみの世帯およびこれに準ずる世帯に限る。）","視覚障害者（児）が容易に使用し得るもの","9000","5"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","視覚障害","視覚障害者支援具","給付","視覚障害に係る障害があるもの","音声・振動等を利用し、視覚障害者の日常の生活に利便をもたらす機器","100000","8"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","視覚障害","ポータブルレコーダー（学齢児以上）","給付","視覚障害に係る障害の程度が1級または2級のもの","音声等により操作ボタンが知覚または認識でき、かつ、視覚障害者（児）が容易に使用し得るもの①DAISY方式による録音が可能で、当該方式により記録された図書の再生が可能な製品②DAISY方式により記録された図書の再生が可能な製品","①85000 ②48000","6"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","視覚障害","活字文書読上げ装置","給付","視覚障害に係る障害の程度が1級または2級のもの","活字と同一紙面上に掲載された、当該活字をコード化した情報を読み取り、当該活字情報を音声により伝える機能を有するもの","99800","6"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","視覚障害","時計（18歳以上）","給付","視覚障害に係る障害の程度が1級または2級のもの（音声時計は、手指の触覚に障害がある等のため触読式の使用が困難な者を原則とする。）","視覚障害者が容易に使用し得るもの","①触読式12000②音声式16000","7"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","視覚障害","点字タイプライター","給付","視覚障害に係る障害の程度が1級または2級のもの（本人が就労若しくは就学しているか、あるいは就労（職業訓練含む。）が見込まれている者に限る。）","視覚障害者（児）が容易に操作できるもの","63100","5"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","視覚障害","電磁調理器（18歳以上）","給付","視覚障害に係る障害の程度が1級または2級のもの（障害者のみの世帯およびこれに準ずる世帯に限る。）","視覚障害者が容易に使用し得るもの","41000","6"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","視覚障害","盲人用体重計（18歳以上）","給付","視覚障害に係る障害の程度が1級または2級のもの（視覚障害者のみの世帯およびこれに準ずる世帯に限る。）","視覚障害者が容易に使用し得るもの","18000","5"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","視覚障害","拡大読書器（学齢児以上）","給付","視覚障害者（児）で、本装置により文字等を読むことが可能になるもの","画像入力装置を読みたいもの（印刷物等）の上に置くことで簡単に拡大された画像（文字等）をモニターに写し出せるもの","198000","8"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","視覚障害","情報・通信支援用具（学齢児以上）","給付","視覚に係る障害があるもの","パソコンを操作する際に必要とする画面音声化ソフトや障害に適した入力装置（パソコンおよびパソコン周辺機器）","100000","5"
