罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,現金被害の有無
窃盗,車上ねらい,麻布,六本木六丁目交番,131032,東京都,港区,六本木７丁目,2020-11-21,22,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東京湾岸,お台場海浜公園駅前交番,131032,東京都,港区,台場１丁目,2020-06-27,13,その他,その他,施錠した,あり
窃盗,車上ねらい,東京湾岸,都橋交番,131083,東京都,江東区,有明１丁目,2020-12-25,23,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東京湾岸,都橋交番,131083,東京都,江東区,東雲１丁目,2020-03-01,13,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東京湾岸,都橋交番,131083,東京都,江東区,東雲１丁目,2020-04-19,15,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,品川,青物横丁駅前交番,131091,東京都,品川区,南品川１丁目,2020-11-20,14,道路上,その他,施錠した,あり
窃盗,車上ねらい,田園調布,道々橋交番,131113,東京都,大田区,上池台５丁目,2020-05-29,00,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,蒲田,西六郷交番,131113,東京都,大田区,新蒲田１丁目,2020-06-18,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,蒲田,東六郷交番,131113,東京都,大田区,南六郷３丁目,2020-10-20,22,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東京空港,第１ターミナル交番,131113,東京都,大田区,羽田空港３丁目,2020-03-08,16,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東京空港,第２ターミナル交番,131113,東京都,大田区,羽田空港３丁目,2020-03-02,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東京空港,第２ターミナル交番,131113,東京都,大田区,羽田空港３丁目,2020-03-03,05,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東京空港,第２ターミナル交番,131113,東京都,大田区,羽田空港３丁目,2020-03-08,10,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,玉川,上野毛交番,131121,東京都,世田谷区,上野毛２丁目,2020-07-10,08,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,成城,鎌田駐在所,131121,東京都,世田谷区,鎌田３丁目,2019-12-21,17,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,成城,鎌田駐在所,131121,東京都,世田谷区,鎌田３丁目,2020-01-29,17,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,成城,鎌田駐在所,131121,東京都,世田谷区,鎌田３丁目,2020-04-23,17,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,成城,鎌田駐在所,131121,東京都,世田谷区,鎌田３丁目,2020-05-01,17,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,成城,鎌田駐在所,131121,東京都,世田谷区,鎌田３丁目,2020-05-10,17,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,成城,鎌田駐在所,131121,東京都,世田谷区,鎌田３丁目,2020-05-21,17,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,成城,鎌田駐在所,131121,東京都,世田谷区,鎌田３丁目,2020-05-31,17,その他,駐車（輪）場,施錠した,なし
