罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金以外の主な被害品
窃盗,部品ねらい,中央,日本橋交番,131024,東京都,中央区,日本橋小舟町,2022/4/20,19,道路上,その他,ナンバープレート
窃盗,部品ねらい,中央,本町交番,131024,東京都,中央区,日本橋本石町４丁目,2022/8/3,15,その他,その他,その他
窃盗,部品ねらい,深川,住吉交番,131083,東京都,江東区,猿江２丁目,2022/6/1,不明,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,深川,千田交番,131083,東京都,江東区,千石３丁目,2022/7/19,6,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,深川,東陽交番,131083,東京都,江東区,東陽４丁目,2022/3/9,12,その他,駐車（輪）場,その他
窃盗,部品ねらい,深川,枝川交番,131083,東京都,江東区,枝川２丁目,2022/11/17,18,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,深川,枝川交番,131083,東京都,江東区,潮見１丁目,2022/1/9,23,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,深川,枝川交番,131083,東京都,江東区,潮見１丁目,2022/12/7,23,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,深川,森下交番,131083,東京都,江東区,森下３丁目,2022/10/24,9,その他,駐車（輪）場,その他
窃盗,部品ねらい,深川,清澄庭園前交番,131083,東京都,江東区,清澄２丁目,2022/4/10,16,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,深川,清澄庭園前交番,131083,東京都,江東区,冬木,2022/6/25,20,道路上,その他,その他
窃盗,部品ねらい,深川,現代美術館前交番,131083,東京都,江東区,木場３丁目,2022/5/24,19,道路上,その他,その他
窃盗,部品ねらい,深川,豊洲交番,131083,東京都,江東区,豊洲２丁目,2022/5/30,12,４階建て以上共同住宅,駐車（輪）場,その他
