罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,中央,本町交番,131024,東京都,中央区,日本橋本町４丁目,2022/10/18,7,道路上,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,深川,東陽交番,131083,東京都,江東区,東陽３丁目,2022/10/17,21,道路上,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,深川,枝川交番,131083,東京都,江東区,枝川１丁目,2022/6/19,3,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,深川,枝川交番,131083,東京都,江東区,潮見１丁目,2022/10/21,14,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,深川,枝川交番,131083,東京都,江東区,潮見１丁目,2022/12/4,18,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,深川,豊洲交番,131083,東京都,江東区,豊洲３丁目,2022/7/22,18,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,深川,門前仲町交番,131083,東京都,江東区,富岡１丁目,2022/5/15,14,一戸建住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,深川,門前仲町交番,131083,東京都,江東区,牡丹１丁目,2022/9/12,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,深川,門前仲町交番,131083,東京都,江東区,牡丹１丁目,2022/10/8,15,道路上,その他,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,深川,門前仲町交番,131083,東京都,江東区,牡丹１丁目,2022/10/9,1,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,麹町,麹町四丁目交番,131016,東京都,千代田区,紀尾井町,2022/7/19,12,道路上,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,月島,勝どき橋交番,131024,東京都,中央区,勝どき２丁目,2022/11/17,20,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,月島,晴海三丁目交番,131024,東京都,中央区,晴海３丁目,2022/2/1,0,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,愛宕,新橋駅前交番,131032,東京都,港区,新橋２丁目,2022/11/2,17,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,愛宕,浜松町交番,131032,東京都,港区,浜松町２丁目,2022/11/12,22,その他,駐車（輪）場,キーなし,なし,なし
窃盗,オートバイ盗,三田,亀塚公園前交番,131032,東京都,港区,三田３丁目,2021/10/17,14,道路上,その他,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,三田,芝四丁目交番,131032,東京都,港区,芝４丁目,2022/7/12,22,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,高輪,品川駅港南口交番,131032,東京都,港区,港南３丁目,2022/5/22,12,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,麻布,西麻布交番,131032,東京都,港区,西麻布２丁目,2022/1/21,7,駐車（輪）場,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,赤坂,表参道交番,131032,東京都,港区,南青山２丁目,2022/6/8,16,駐車（輪）場,駐車（輪）場,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,赤坂,赤坂見附交番,131032,東京都,港区,元赤坂１丁目,2022/2/1,0,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東京湾岸,お台場海浜公園駅前交番,131032,東京都,港区,台場１丁目,2022/6/27,11,その他,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東京湾岸,大田市場前交番,131113,東京都,大田区,城南島４丁目,2022/2/2,14,道路上,その他,キーあり,なし,自動二輪（50cc超）
