罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,現金以外の主な被害品
窃盗,部品ねらい,中央,本町交番,131024,東京都,中央区,日本橋本石町４丁目,2018-03-25,13,その他,ナンバープレート
窃盗,部品ねらい,中央,日本橋交番,131024,東京都,中央区,日本橋１丁目,2018-01-22,09,道路上,その他
窃盗,部品ねらい,中央,日本橋交番,131024,東京都,中央区,日本橋室町１丁目,2018-05-01,15,道路上,その他
窃盗,部品ねらい,中央,八重洲通交番,131024,東京都,中央区,八重洲１丁目,2017-12-20,不明,道路上,ナンバープレート
窃盗,部品ねらい,中央,八重洲通交番,131024,東京都,中央区,八重洲２丁目,2018-11-09,11,駐車（輪）場,その他
窃盗,部品ねらい,中央,高橋交番,131024,東京都,中央区,新川２丁目,2018-07-19,09,４階建て以上共同住宅,その他
窃盗,部品ねらい,深川,森下交番,131083,東京都,江東区,常盤１丁目,2018-01-23,12,駐車（輪）場,その他
窃盗,部品ねらい,深川,森下交番,131083,東京都,江東区,常盤１丁目,2018-04-14,19,その他,その他
窃盗,部品ねらい,深川,住吉交番,131083,東京都,江東区,毛利１丁目,2018-07-08,15,駐車（輪）場,その他
窃盗,部品ねらい,深川,住吉交番,131083,東京都,江東区,毛利１丁目,2018-07-08,21,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,深川,東陽交番,131083,東京都,江東区,塩浜２丁目,2017-12-01,08,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,深川,東陽交番,131083,東京都,江東区,塩浜２丁目,2018-08-20,16,４階建て以上共同住宅,その他
窃盗,部品ねらい,深川,東陽交番,131083,東京都,江東区,東陽３丁目,2018-07-22,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,深川,東陽交番,131083,東京都,江東区,東陽３丁目,2018-09-19,23,一戸建住宅,ナンバープレート
窃盗,部品ねらい,深川,東陽交番,131083,東京都,江東区,東陽４丁目,2018-06-29,18,４階建て以上共同住宅,その他
窃盗,部品ねらい,深川,東陽交番,131083,東京都,江東区,東陽４丁目,2018-07-20,12,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,深川,門前仲町交番,131083,東京都,江東区,門前仲町２丁目,2018-09-19,18,駐車（輪）場,その他
窃盗,部品ねらい,深川,千田交番,131083,東京都,江東区,千石３丁目,2018-10-14,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,深川,豊洲交番,131083,東京都,江東区,豊洲２丁目,2018-01-13,09,駐車（輪）場,ナンバープレート
