罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,中央,本町交番,131024,東京都,中央区,日本橋室町３丁目,2019-10-17,20,道路上,男性,50歳代,なし
窃盗,ひったくり,中央,八丁堀交番,131024,東京都,中央区,八丁堀１丁目,2019-05-25,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,万世橋,神田駅交番,131016,東京都,千代田区,鍛冶町２丁目,2019-05-18,09,その他,女性,20歳代,なし
窃盗,ひったくり,万世橋,美倉橋交番,131016,東京都,千代田区,神田佐久間町３丁目,2019-10-17,20,道路上,男性,40歳代,あり
窃盗,ひったくり,築地,銀座八丁目交番,131024,東京都,中央区,銀座８丁目,2019-09-04,00,道路上,女性,40歳代,なし
窃盗,ひったくり,愛宕,新橋駅前交番,131032,東京都,港区,新橋１丁目,2019-10-05,03,道路上,男性,50歳代,あり
窃盗,ひったくり,愛宕,東新橋交番,131032,東京都,港区,新橋４丁目,2019-05-14,23,道路上,男性,70歳以上,あり
窃盗,ひったくり,三田,海岸通交番,131032,東京都,港区,海岸３丁目,2019-09-27,12,道路上,女性,30歳代,なし
窃盗,ひったくり,高輪,白金三光町交番,131032,東京都,港区,白金３丁目,2019-03-02,19,道路上,女性,40歳代,あり
窃盗,ひったくり,麻布,盛岡町交番,131032,東京都,港区,南麻布２丁目,2019-02-27,01,道路上,男性,50歳代,あり
窃盗,ひったくり,麻布,西麻布交番,131032,東京都,港区,西麻布３丁目,2019-07-23,16,道路上,女性,70歳以上,あり
窃盗,ひったくり,麻布,西麻布交番,131032,東京都,港区,西麻布４丁目,2019-03-08,08,道路上,女性,50歳代,あり
窃盗,ひったくり,赤坂,表参道交番,131032,東京都,港区,南青山４丁目,2019-07-18,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,赤坂,表参道交番,131032,東京都,港区,南青山７丁目,2019-07-18,18,道路上,女性,50歳代,あり
窃盗,ひったくり,赤坂,赤坂五丁目交番,131032,東京都,港区,赤坂６丁目,2019-05-22,01,道路上,女性,40歳代,あり
窃盗,ひったくり,品川,青物横丁駅前交番,131091,東京都,品川区,南品川５丁目,2019-04-24,12,道路上,男性,70歳以上,なし
窃盗,ひったくり,大井,大井町駅前交番,131091,東京都,品川区,大井１丁目,2019-08-04,05,道路上,女性,70歳以上,あり
窃盗,ひったくり,大井,八潮団地交番,131091,東京都,品川区,八潮４丁目,2019-08-09,20,その他,女性,65-69歳,なし
