罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,麻布,西麻布交番,131032,東京都,港区,西麻布３丁目,2020-12-02,03,道路上,女性,40歳代,あり
窃盗,ひったくり,田園調布,田園調布駅前交番,131113,東京都,大田区,田園調布１丁目,2020-03-10,21,道路上,女性,30歳代,なし
窃盗,ひったくり,蒲田,蒲田駅西口交番,131113,東京都,大田区,西蒲田７丁目,2020-06-13,23,道路上,女性,30歳代,あり
窃盗,ひったくり,池上,ガス橋交番,131113,東京都,大田区,下丸子３丁目,2020-04-20,20,道路上,女性,50歳代,あり
窃盗,ひったくり,成城,桜上水交番,131121,東京都,世田谷区,桜上水３丁目,2020-08-20,23,道路上,女性,20歳代,あり
窃盗,ひったくり,渋谷,渋谷駅前交番,131130,東京都,渋谷区,道玄坂２丁目,2020-10-15,04,道路上,男性,30歳代,あり
窃盗,ひったくり,渋谷,渋谷駅前交番,131130,東京都,渋谷区,道玄坂２丁目,2020-10-24,05,道路上,男性,30歳代,あり
窃盗,ひったくり,原宿,代々木二丁目交番,131130,東京都,渋谷区,代々木２丁目,2020-02-02,10,道路上,女性,30歳代,あり
窃盗,ひったくり,代々木,清水橋交番,131130,東京都,渋谷区,本町３丁目,2020-10-12,12,道路上,男性,60-64歳,あり
窃盗,ひったくり,新宿,成子坂交番,131041,東京都,新宿区,西新宿７丁目,2020-04-09,00,道路上,女性,30歳代,あり
窃盗,ひったくり,新宿,淀橋市場前交番,131041,東京都,新宿区,百人町３丁目,2020-05-08,14,道路上,女性,70歳以上,あり
窃盗,ひったくり,新宿,百人町交番,131041,東京都,新宿区,百人町１丁目,2020-01-16,20,道路上,女性,20歳代,なし
窃盗,ひったくり,新宿,百人町交番,131041,東京都,新宿区,百人町１丁目,2020-06-27,01,道路上,女性,65-69歳,あり
窃盗,ひったくり,新宿,百人町交番,131041,東京都,新宿区,百人町２丁目,2020-02-02,10,道路上,女性,50歳代,あり
