罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,現金被害の有無
窃盗,自動販売機ねらい,中央,本町交番,131024,東京都,中央区,日本橋本町４丁目,2018-08-31,15,その他,あり
窃盗,自動販売機ねらい,中央,日本橋交番,131024,東京都,中央区,日本橋小舟町,2018-08-27,20,その他,あり
窃盗,自動販売機ねらい,中央,日本橋交番,131024,東京都,中央区,日本橋堀留町２丁目,2018-08-24,14,道路上,あり
窃盗,自動販売機ねらい,中央,茅場町交番,131024,東京都,中央区,日本橋兜町,2018-10-05,13,その他,あり
窃盗,自動販売機ねらい,中央,高橋交番,131024,東京都,中央区,八丁堀４丁目,2018-06-20,16,その他,あり
窃盗,自動販売機ねらい,深川,森下交番,131083,東京都,江東区,森下２丁目,2018-07-05,10,駐車（輪）場,あり
窃盗,自動販売機ねらい,深川,住吉交番,131083,東京都,江東区,猿江１丁目,2018-09-11,11,道路上,あり
窃盗,自動販売機ねらい,深川,住吉交番,131083,東京都,江東区,猿江２丁目,2018-03-01,19,その他,あり
窃盗,自動販売機ねらい,深川,住吉交番,131083,東京都,江東区,毛利１丁目,2018-11-30,13,駐車（輪）場,あり
窃盗,自動販売機ねらい,深川,住吉交番,131083,東京都,江東区,毛利２丁目,2018-03-31,14,その他,あり
窃盗,自動販売機ねらい,深川,住吉交番,131083,東京都,江東区,毛利２丁目,2018-06-17,10,道路上,あり
窃盗,自動販売機ねらい,深川,千田交番,131083,東京都,江東区,扇橋２丁目,2018-08-29,18,その他,あり
窃盗,自動販売機ねらい,深川,千田交番,131083,東京都,江東区,千石２丁目,2018-12-09,12,その他,あり
窃盗,自動販売機ねらい,深川,現代美術館前交番,131083,東京都,江東区,白河４丁目,2018-10-01,19,道路上,あり
窃盗,自動販売機ねらい,深川,清澄庭園前交番,131083,東京都,江東区,平野１丁目,2018-07-04,10,駐車（輪）場,あり
窃盗,自動販売機ねらい,深川,清澄庭園前交番,131083,東京都,江東区,三好２丁目,2018-10-03,11,その他,あり
窃盗,自動販売機ねらい,麹町,麹町四丁目交番,131016,東京都,千代田区,平河町１丁目,2018-12-11,19,駐車（輪）場,あり
窃盗,自動販売機ねらい,麹町,麹町四丁目交番,131016,東京都,千代田区,平河町１丁目,2018-12-26,17,駐車（輪）場,あり
窃盗,自動販売機ねらい,丸の内,東京駅前交番,131016,東京都,千代田区,丸の内１丁目,2018-12-11,10,その他,あり
窃盗,自動販売機ねらい,丸の内,東京駅前交番,131016,東京都,千代田区,丸の内１丁目,2018-12-18,15,その他,あり
