罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,現金被害の有無
窃盗,車上ねらい,中央,八重洲通交番,131024,東京都,中央区,八重洲１丁目,2022/7/9,11,道路上,その他,施錠せず,あり
窃盗,車上ねらい,中央,八重洲通交番,131024,東京都,中央区,八重洲２丁目,2022/4/3,11,道路上,その他,施錠せず,あり
窃盗,車上ねらい,中央,八重洲通交番,131024,東京都,中央区,八重洲２丁目,2022/4/3,13,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,中央,八重洲通交番,131024,東京都,中央区,八重洲２丁目,2022/10/18,22,道路上,その他,施錠せず,あり
窃盗,車上ねらい,中央,日本橋交番,131024,東京都,中央区,日本橋２丁目,2022/1/3,14,道路上,その他,施錠せず,なし
窃盗,車上ねらい,中央,日本橋交番,131024,東京都,中央区,日本橋堀留町２丁目,2022/5/20,7,道路上,その他,施錠せず,あり
窃盗,車上ねらい,中央,日本橋交番,131024,東京都,中央区,日本橋本町１丁目,2022/3/16,8,道路上,その他,施錠せず,あり
窃盗,車上ねらい,中央,日本橋交番,131024,東京都,中央区,日本橋室町１丁目,2022/2/21,14,道路上,その他,施錠せず,あり
窃盗,車上ねらい,中央,本町交番,131024,東京都,中央区,日本橋小伝馬町,2022/5/20,7,道路上,その他,施錠せず,あり
窃盗,車上ねらい,中央,本町交番,131024,東京都,中央区,日本橋本町３丁目,2022/2/14,14,道路上,その他,施錠せず,あり
窃盗,車上ねらい,中央,本町交番,131024,東京都,中央区,日本橋本町４丁目,2022/1/12,15,道路上,その他,施錠せず,あり
窃盗,車上ねらい,中央,高橋交番,131024,東京都,中央区,新川２丁目,2022/4/7,1,道路上,その他,施錠せず,なし
窃盗,車上ねらい,深川,住吉交番,131083,東京都,江東区,住吉２丁目,2022/8/28,19,道路上,その他,施錠せず,あり
窃盗,車上ねらい,深川,千田交番,131083,東京都,江東区,千石３丁目,2022/3/12,18,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,深川,東陽交番,131083,東京都,江東区,東陽４丁目,2021/12/30,12,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,深川,東陽交番,131083,東京都,江東区,東陽４丁目,2022/11/18,19,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,深川,東陽交番,131083,東京都,江東区,南砂２丁目,2022/11/30,12,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,深川,枝川交番,131083,東京都,江東区,枝川１丁目,2022/11/11,12,その他の住宅（３階建て以下共同住宅等）,その他,施錠せず,あり
窃盗,車上ねらい,深川,森下交番,131083,東京都,江東区,白河４丁目,2022/6/24,18,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,深川,森下交番,131083,東京都,江東区,森下３丁目,2022/11/17,16,その他,その他,施錠せず,あり
窃盗,車上ねらい,深川,森下交番,131083,東京都,江東区,森下３丁目,2022/11/28,16,その他,その他,施錠せず,あり
窃盗,車上ねらい,深川,森下交番,131083,東京都,江東区,森下４丁目,2021/11/11,7,道路上,その他,施錠せず,なし
窃盗,車上ねらい,深川,清澄庭園前交番,131083,東京都,江東区,平野２丁目,2022/3/9,18,その他,駐車（輪）場,施錠せず,なし
