罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,中央,八丁堀交番,131024,東京都,中央区,日本橋兜町,2022/8/25,9,道路上,その他,65-69歳,その他,施錠せず
窃盗,自転車盗,中央,八丁堀交番,131024,東京都,中央区,八丁堀１丁目,2022/3/29,9,その他の住宅（３階建て以下共同住宅等）,その他,40歳代,その他,施錠せず
窃盗,自転車盗,中央,八丁堀交番,131024,東京都,中央区,八丁堀２丁目,2022/5/30,5,道路上,その他,法人・団体、被害者なし,法人・団体、被害者なし,施錠せず
窃盗,自転車盗,中央,八丁堀交番,131024,東京都,中央区,八丁堀３丁目,2022/1/26,12,道路上,その他,30歳代,その他,施錠せず
窃盗,自転車盗,中央,八丁堀交番,131024,東京都,中央区,八丁堀３丁目,2022/3/14,3,道路上,その他,40歳代,その他,施錠した
窃盗,自転車盗,中央,八丁堀交番,131024,東京都,中央区,八丁堀３丁目,2022/4/12,22,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,中央,八丁堀交番,131024,東京都,中央区,八丁堀３丁目,2022/5/12,16,４階建て以上共同住宅,駐車（輪）場,法人・団体、被害者なし,法人・団体、被害者なし,施錠せず
窃盗,自転車盗,中央,八丁堀交番,131024,東京都,中央区,八丁堀４丁目,2022/5/10,22,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,中央,八丁堀交番,131024,東京都,中央区,八丁堀４丁目,2022/5/24,20,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,中央,八丁堀交番,131024,東京都,中央区,八丁堀４丁目,2022/7/10,0,道路上,その他,30歳代,その他,施錠せず
窃盗,自転車盗,中央,八重洲通交番,131024,東京都,中央区,京橋２丁目,2022/6/22,10,道路上,その他,40歳代,その他,施錠せず
窃盗,自転車盗,中央,八重洲通交番,131024,東京都,中央区,京橋２丁目,2022/7/2,22,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,中央,八重洲通交番,131024,東京都,中央区,日本橋３丁目,2022/8/24,11,道路上,その他,40歳代,その他,施錠した
