罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,現金被害の有無
窃盗,車上ねらい,深川,森下交番,131083,東京都,江東区,森下５丁目,2019-09-11,17,４階建て以上共同住宅,施錠した,あり
窃盗,車上ねらい,深川,住吉交番,131083,東京都,江東区,扇橋１丁目,2019-11-14,16,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,深川,現代美術館前交番,131083,東京都,江東区,三好３丁目,2019-09-14,16,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,深川,枝川交番,131083,東京都,江東区,枝川１丁目,2019-09-25,19,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,万世橋,美倉橋交番,131016,東京都,千代田区,神田和泉町,2019-11-22,14,道路上,施錠した,あり
窃盗,車上ねらい,久松,東日本橋交番,131024,東京都,中央区,日本橋馬喰町２丁目,2019-10-22,18,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東京湾岸,第五台場交番,131091,東京都,品川区,八潮３丁目,2019-04-30,18,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東京湾岸,お台場海浜公園駅前交番,131083,東京都,江東区,青海１丁目,2019-09-14,14,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,東京湾岸,辰巳交番,131083,東京都,江東区,辰巳１丁目,2019-09-03,13,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,品川,御殿山交番,131091,東京都,品川区,北品川４丁目,2019-07-25,08,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,大森,谷戸交番,131113,東京都,大田区,大森中３丁目,2019-11-09,02,その他,施錠した,なし
窃盗,車上ねらい,大森,大森海岸交番,131113,東京都,大田区,大森北３丁目,2019-07-26,00,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,大森,大森海岸交番,131113,東京都,大田区,大森北６丁目,2019-07-21,18,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,大森,大森海岸交番,131113,東京都,大田区,大森本町２丁目,2019-07-25,15,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大森,大森駅前交番,131113,東京都,大田区,大森北１丁目,2019-04-21,17,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,蒲田,日の出通交番,131113,東京都,大田区,南蒲田３丁目,2019-06-07,09,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,蒲田,本羽田交番,131113,東京都,大田区,萩中１丁目,2019-04-07,16,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,蒲田,本羽田交番,131113,東京都,大田区,萩中１丁目,2019-04-08,21,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,蒲田,本羽田交番,131113,東京都,大田区,本羽田２丁目,2019-03-10,16,４階建て以上共同住宅,施錠した,なし
窃盗,車上ねらい,蒲田,大鳥居交番,131113,東京都,大田区,羽田４丁目,2019-11-02,16,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,蒲田,大鳥居交番,131113,東京都,大田区,羽田４丁目,2019-11-03,19,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,蒲田,大鳥居交番,131113,東京都,大田区,羽田５丁目,2019-11-01,18,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,池上,久が原交番,131113,東京都,大田区,久が原２丁目,2019-10-16,05,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,池上,ガス橋交番,131113,東京都,大田区,下丸子３丁目,2019-10-18,20,その他の住宅（３階建て以下共同住宅等）,施錠した,なし
窃盗,車上ねらい,玉川,二子玉川交番,131121,東京都,世田谷区,上野毛２丁目,2019-01-31,19,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,玉川,用賀交番,131121,東京都,世田谷区,上用賀５丁目,2019-01-05,00,その他の住宅（３階建て以下共同住宅等）,施錠した,なし
窃盗,車上ねらい,玉川,等々力不動前駐在所,131121,東京都,世田谷区,野毛１丁目,2019-01-31,20,その他の住宅（３階建て以下共同住宅等）,施錠した,なし
窃盗,車上ねらい,玉川,等々力不動前駐在所,131121,東京都,世田谷区,野毛２丁目,2019-01-31,17,その他,施錠した,なし
