罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,自動車盗,久松,浜町交番,131024,東京都,中央区,日本橋浜町３丁目,2021/7/8,20,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,三田,田町駅東口交番,131032,東京都,港区,芝浦４丁目,2021/1/19,3,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,高輪,白金三光町交番,131032,東京都,港区,白金４丁目,2021/11/18,2,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,麻布,一之橋交番,131032,東京都,港区,麻布十番２丁目,2021/6/8,12,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,麻布,一之橋交番,131032,東京都,港区,麻布十番３丁目,2021/1/19,2,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,赤坂,表参道交番,131032,東京都,港区,南青山６丁目,2021/1/11,5,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,赤坂,表参道交番,131032,東京都,港区,南青山７丁目,2021/1/18,12,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,東京湾岸,お台場海浜公園駅前交番,131032,東京都,港区,台場１丁目,2021/6/2,0,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,東京湾岸,第五台場交番,131091,東京都,品川区,東品川５丁目,2021/1/8,6,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,品川,御殿山交番,131091,東京都,品川区,北品川６丁目,2021/8/29,17,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,大井,鹿島神社前交番,131091,東京都,品川区,大井４丁目,2021/5/19,23,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,荏原,,131091,東京都,品川区,東五反田３丁目,2021/8/29,14,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,大森,大森海岸交番,131113,東京都,大田区,京浜島３丁目,2021/4/3,12,駐車（輪）場,駐車（輪）場,キーあり,なし,特殊自動車
窃盗,自動車盗,大森,春日橋交番,131113,東京都,大田区,中央４丁目,2021/7/13,18,一戸建住宅,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,大森,森ケ崎交番,131113,東京都,大田区,大森東３丁目,2021/7/28,21,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,大森,谷戸交番,131113,東京都,大田区,大森西３丁目,2021/5/30,15,その他,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,大森,谷戸交番,131113,東京都,大田区,京浜島３丁目,2021/3/26,12,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,田園調布,道々橋交番,131113,東京都,大田区,仲池上２丁目,2021/8/9,6,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,田園調布,鵜の木駅前交番,131113,東京都,大田区,鵜の木１丁目,2021/6/10,17,その他,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,田園調布,鵜の木駅前交番,131113,東京都,大田区,鵜の木２丁目,2021/10/14,10,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,田園調布,鵜の木駅前交番,131113,東京都,大田区,鵜の木３丁目,2021/10/9,23,その他,駐車（輪）場,キーなし,なし,貨物自動車
