罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,中央,八重洲通交番,131024,東京都,中央区,八重洲２丁目,2018-11-15,21,道路上,女性,30歳代,あり
窃盗,ひったくり,深川,千田交番,131083,東京都,江東区,海辺,2018-08-11,21,道路上,女性,50歳代,あり
窃盗,ひったくり,万世橋,岩本町交番,131016,東京都,千代田区,岩本町３丁目,2018-08-28,18,道路上,女性,20歳代,あり
窃盗,ひったくり,万世橋,美倉橋交番,131016,東京都,千代田区,東神田１丁目,2018-12-05,00,道路上,女性,10歳代,なし
窃盗,ひったくり,万世橋,秋葉原交番,131016,東京都,千代田区,外神田２丁目,2018-02-02,22,道路上,女性,60-64歳,なし
窃盗,ひったくり,久松,東日本橋交番,131024,東京都,中央区,日本橋横山町,2018-07-20,09,道路上,女性,70歳以上,あり
窃盗,ひったくり,築地,銀座八丁目交番,131024,東京都,中央区,銀座７丁目,2018-05-10,17,道路上,女性,30歳代,あり
窃盗,ひったくり,築地,小田原町交番,131024,東京都,中央区,築地６丁目,2018-08-29,18,道路上,男性,20歳代,あり
窃盗,ひったくり,愛宕,新橋駅前交番,131032,東京都,港区,新橋２丁目,2018-09-29,03,その他,男性,20歳代,あり
窃盗,ひったくり,麻布,一之橋交番,131032,東京都,港区,麻布台３丁目,2018-01-25,19,道路上,女性,65-69歳,あり
窃盗,ひったくり,麻布,六本木交番,131032,東京都,港区,六本木３丁目,2018-03-24,05,その他,女性,20歳代,あり
窃盗,ひったくり,麻布,六本木交番,131032,東京都,港区,六本木３丁目,2018-06-23,02,道路上,男性,30歳代,あり
窃盗,ひったくり,赤坂,赤坂見附交番,131032,東京都,港区,赤坂４丁目,2018-08-07,14,その他,女性,20歳代,あり
窃盗,ひったくり,荏原,豊町交番,131091,東京都,品川区,豊町６丁目,2018-06-10,16,道路上,女性,70歳以上,あり
窃盗,ひったくり,荏原,豊町交番,131091,東京都,品川区,豊町６丁目,2018-08-28,20,道路上,女性,70歳以上,あり
窃盗,ひったくり,荏原,源氏前交番,131091,東京都,品川区,中延４丁目,2018-04-22,20,道路上,女性,70歳以上,あり
窃盗,ひったくり,荏原,源氏前交番,131091,東京都,品川区,中延５丁目,2018-06-24,20,その他,男性,65-69歳,あり
窃盗,ひったくり,大森,森ケ崎交番,131113,東京都,大田区,大森東３丁目,2018-10-10,23,道路上,男性,30歳代,あり
窃盗,ひったくり,大森,春日橋交番,131113,東京都,大田区,中央４丁目,2018-11-15,18,道路上,女性,50歳代,あり
窃盗,ひったくり,田園調布,田園調布駅前交番,131113,東京都,大田区,田園調布１丁目,2018-03-22,17,道路上,男性,70歳以上,あり
窃盗,ひったくり,田園調布,田園調布駅前交番,131113,東京都,大田区,田園調布３丁目,2018-01-30,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,田園調布,鵜の木駅前交番,131113,東京都,大田区,南久が原２丁目,2018-12-20,21,道路上,男性,70歳以上,あり
窃盗,ひったくり,田園調布,多摩川台駐在所,131113,東京都,大田区,田園調布４丁目,2018-04-06,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,蒲田,蒲田駅東口交番,131113,東京都,大田区,蒲田５丁目,2018-06-25,19,道路上,男性,60-64歳,あり
窃盗,ひったくり,蒲田,西六郷交番,131113,東京都,大田区,西六郷３丁目,2018-07-30,20,道路上,女性,60-64歳,なし
窃盗,ひったくり,蒲田,東六郷交番,131113,東京都,大田区,仲六郷４丁目,2018-02-28,15,道路上,女性,70歳以上,あり
窃盗,ひったくり,池上,,,,,,2018-01-02,15,道路上,男性,65-69歳,あり
窃盗,ひったくり,池上,南馬込交番,131113,東京都,大田区,南馬込６丁目,2018-12-14,21,道路上,女性,40歳代,あり
窃盗,ひったくり,池上,三本松交番,131113,東京都,大田区,北馬込１丁目,2018-05-04,18,道路上,女性,70歳以上,あり
窃盗,ひったくり,池上,三本松交番,131113,東京都,大田区,北馬込１丁目,2018-12-09,21,道路上,男性,30歳代,あり
窃盗,ひったくり,池上,西馬込交番,131113,東京都,大田区,南馬込６丁目,2018-10-15,21,道路上,女性,40歳代,あり
窃盗,ひったくり,池上,千鳥交番,131113,東京都,大田区,久が原６丁目,2018-11-12,20,道路上,女性,50歳代,あり
窃盗,ひったくり,世田谷,三宿交番,131121,東京都,世田谷区,池尻２丁目,2018-08-07,19,道路上,女性,40歳代,あり
窃盗,ひったくり,世田谷,三宿交番,131121,東京都,世田谷区,池尻４丁目,2018-07-25,16,道路上,女性,60-64歳,なし
窃盗,ひったくり,玉川,瀬田交番,131121,東京都,世田谷区,用賀１丁目,2018-07-25,19,道路上,女性,50歳代,あり
窃盗,ひったくり,成城,烏山交番,131121,東京都,世田谷区,北烏山３丁目,2018-08-19,22,道路上,男性,40歳代,あり
窃盗,ひったくり,成城,大蔵二丁目交番,131121,東京都,世田谷区,砧１丁目,2018-07-25,18,道路上,女性,50歳代,あり
窃盗,ひったくり,成城,大蔵二丁目交番,131121,東京都,世田谷区,砧５丁目,2018-11-30,20,道路上,女性,50歳代,あり
窃盗,ひったくり,成城,東宝前交番,131121,東京都,世田谷区,宇奈根３丁目,2018-05-19,21,道路上,女性,70歳以上,あり
窃盗,ひったくり,成城,給田交番,131121,東京都,世田谷区,北烏山９丁目,2018-08-19,22,道路上,女性,10歳代,あり
窃盗,ひったくり,成城,給田交番,131121,東京都,世田谷区,給田３丁目,2018-03-10,01,道路上,男性,40歳代,あり
窃盗,ひったくり,目黒,中目黒駅前交番,131105,東京都,目黒区,青葉台１丁目,2018-03-26,18,道路上,女性,20歳代,あり
窃盗,ひったくり,碑文谷,自由が丘交番,131105,東京都,目黒区,緑が丘２丁目,2018-09-20,03,道路上,女性,20歳代,なし
窃盗,ひったくり,渋谷,道玄坂上交番,131130,東京都,渋谷区,円山町,2018-10-15,02,その他,男性,20歳代,なし
窃盗,ひったくり,渋谷,恵比寿駅前交番,131130,東京都,渋谷区,恵比寿３丁目,2018-07-01,21,道路上,女性,20歳代,あり
窃盗,ひったくり,渋谷,広尾五丁目交番,131130,東京都,渋谷区,広尾２丁目,2018-10-10,22,道路上,女性,20歳代,あり
窃盗,ひったくり,代々木,笹塚交番,131130,東京都,渋谷区,笹塚３丁目,2018-11-17,13,その他,法人・団体,法人・団体、被害者なし,なし
窃盗,ひったくり,牛込,,131041,東京都,新宿区,新宿７丁目,2018-10-24,14,道路上,男性,50歳代,なし
窃盗,ひったくり,牛込,富久町交番,131041,東京都,新宿区,市谷台町,2018-01-13,11,その他,男性,40歳代,なし
窃盗,ひったくり,新宿,新宿駅西口交番,131041,東京都,新宿区,西新宿４丁目,2018-04-26,09,その他,男性,65-69歳,なし
窃盗,ひったくり,新宿,熊野神社前交番,131041,東京都,新宿区,西新宿５丁目,2018-05-29,11,その他,女性,10歳代,なし
窃盗,ひったくり,新宿,北新宿一丁目交番,131041,東京都,新宿区,北新宿２丁目,2018-09-09,00,道路上,女性,20歳代,あり
窃盗,ひったくり,新宿,大久保交番,131041,東京都,新宿区,大久保１丁目,2018-06-24,04,その他,女性,40歳代,あり
窃盗,ひったくり,新宿,大久保交番,131041,東京都,新宿区,大久保１丁目,2018-09-29,00,道路上,女性,20歳代,あり
窃盗,ひったくり,新宿,新宿六丁目交番,131041,東京都,新宿区,新宿７丁目,2018-07-27,22,道路上,女性,50歳代,あり
窃盗,ひったくり,新宿,歌舞伎町交番,131041,東京都,新宿区,歌舞伎町１丁目,2018-01-06,23,道路上,男性,20歳代,なし
窃盗,ひったくり,新宿,歌舞伎町交番,131041,東京都,新宿区,歌舞伎町２丁目,2018-06-10,02,道路上,女性,20歳代,あり
窃盗,ひったくり,新宿,歌舞伎町交番,131041,東京都,新宿区,歌舞伎町２丁目,2018-11-27,22,道路上,男性,40歳代,あり
窃盗,ひったくり,新宿,新宿駅東口交番,131041,東京都,新宿区,新宿３丁目,2018-08-24,00,道路上,男性,30歳代,あり
窃盗,ひったくり,新宿,新宿駅東口交番,131041,東京都,新宿区,新宿３丁目,2018-12-13,21,その他,女性,20歳代,あり
窃盗,ひったくり,戸塚,下落合駅前交番,131041,東京都,新宿区,中落合２丁目,2018-08-06,10,道路上,女性,65-69歳,あり
窃盗,ひったくり,戸塚,西落合交番,131041,東京都,新宿区,中落合３丁目,2018-08-20,12,道路上,男性,60-64歳,あり
窃盗,ひったくり,中野,中野駅前交番,131148,東京都,中野区,中野５丁目,2018-03-24,20,道路上,女性,20歳代,なし
窃盗,ひったくり,中野,中央五丁目交番,131148,東京都,中野区,中央５丁目,2018-05-06,09,道路上,女性,40歳代,あり
窃盗,ひったくり,野方,薬師駅前交番,131148,東京都,中野区,上高田４丁目,2018-08-08,15,道路上,女性,50歳代,あり
窃盗,ひったくり,野方,薬師駅前交番,131148,東京都,中野区,上高田５丁目,2018-05-01,20,道路上,男性,30歳代,あり
窃盗,ひったくり,野方,野方駅前交番,131148,東京都,中野区,丸山２丁目,2018-05-17,18,道路上,男性,40歳代,あり
