配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,QBハウス（ヘアカット）,B1階改札外コンコース（A1・A2出口方）,【全日】10時から20時まで,,,0120-585-919,http://www.qbhouse.co.jp/,,
B,atelier haruka / MANICURE HOUSE（美容、ネイルサービス）,B1階改札外コンコース（A1・A2出口方）,【月曜～土曜】9時から18時まで【日曜・祝日】休業,,,03-5791-0800,https://www.haruka.co.jp/salon/87_hm/,,
C,ドトールコーヒーショップ（喫茶）,B1階改札外コンコース（A4出口方）,【平日】7時から21時まで【土曜】8時から20時まで【日曜・祝日】8時から20時まで,,22席,03-3444-0260,http://www.doutor.co.jp/,○,
D,ミスターミニット（靴修理・鍵複製）,B1階改札外コンコース（JR五反田駅方面改札付近）,【平日】8時30分から20時まで【土曜】10時から19時まで【日曜・祝日】10時から19時まで,,,03-5798-8038,https://www.minit.co.jp/shopsearch/detail/875/,○,
E,コインロッカー,B1階改札外コンコース（A1・A2出口方）,,【標準】35口,,,,,
F,コインロッカー,B1階改札外コンコース（JR五反田駅方面改札付近）,,【標準】40口 ,,,,,
G,コインロッカー,B1階改札外コンコース（JR五反田駅方面改札付近）,,【大型】2口【中型】9口【標準】20口,,,,,
H,証明写真機,B1階改札外コンコース（A5・A6出口付近）,,,,,,,
I,ATM（ゆうちょ銀行）,B1階改札外コンコース（JR五反田駅方面改札付近）,【平日】7時から23時まで【土曜】8時から23時まで【日曜・祝日】8時から21時まで,,,,,,
J,Toei Sweets Shop（期間限定ショップ）,B1階改札外コンコース（A4出口方）,,,,,,,全国の和洋様々なスイーツを扱う店舗が月替わりを基本に出店しています。各店自慢のスイーツをぜひご賞味ください。出店予定スケジュール（https://www.tkk.or.jp/enterprise/station/#event-store）
