駅名,エスカレーター（地上～改札階）,エレベーター（地上～改札階）,エスカレーター（改札階～ホーム階）,エレベーター（改札階～ホーム階）,バリアフリートイレ（車椅子使用者対応トイレ）,ホーム形式,1ルート確保（エレベーター等）,駅タイプ,連絡先
（A-01）西馬込,,地上行エレベーター,エスカレーター（一部階段あり）,ホーム階行エレベーター,車いす対応トイレ,相対式,○,6,03-3775-9611
（A-02）馬込,,地上行エレベーター,エスカレーター（一部階段あり）,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3773-4210
（A-03）中延,,地上行エレベーター,エスカレーター（一部階段あり）,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3786-4634
（A-04）戸越,,地上行エレベーター,エスカレーター（一部階段あり）,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3786-4635
（A-05）五反田,エスカレーター,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3447-2981
（A-06）高輪台,エスカレーター,地上行エレベーター,エスカレーター、車いす昇降機付階段,,車いす対応トイレ,島式,○（※階段昇降機を含む）,3,03-3447-2983
（A-07）泉岳寺,,地上行エレベーター,エスカレーター（西馬込方面のみあり）、車いす昇降機付階段（押上方面のみあり）,,車いす対応トイレ,島式2面,○（※階段昇降機を含む）,3,03-3447-1769
（A-08）三田,エスカレーター,地上行エレベーター（時間制限あり）,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3452-1770
（A-09）大門,エスカレーター,地上行エレベーター,改札とホームは同一階,改札とホームは同一階,車いす対応トイレ,相対式,○,2,03-3433-5671
（A-10）新橋,エスカレーター（一部階段あり）,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,相対式,○,3,03-3571-1693
（A-11）東銀座,エスカレーター（西馬込方面のみあり）,地上行エレベーター,改札とホームは同一階,改札とホームは同一階,車いす対応トイレ,相対式,○,2,03-3542-2072
（A-12）宝町,エスカレーター（一部階段あり）,地上行エレベーター,改札とホームは同一階,改札とホームは同一階,車いす対応トイレ,相対式,○,2,03-3535-7606
（A-13）日本橋,エスカレーター（一部階段あり）,地上行エレベーター,改札とホームは同一階,改札とホームは同一階,車いす対応トイレ,相対式,○,2,03-3272-2409
（A-14）人形町,エスカレーター（一部階段あり）,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3662-5095
（A-15）東日本橋,,地上行エレベーター,改札とホームは同一階,改札とホームは同一階,車いす対応トイレ,相対式,○,2,03-3661-6225
（A-16）浅草橋,エスカレーター,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3866-8765
（A-17）蔵前,エスカレーター（西馬込方面のみあり）,地上行エレベーター,改札とホームは同一階,改札とホームは同一階,車いす対応トイレ,相対式,○,2,03-3866-8770
（A-18）浅草,エスカレーター（一部階段あり）,地上行エレベーター,,ホーム階行エレベーター,車いす対応トイレ,相対式,○,3,03-3844-4689
（A-19）本所吾妻橋,,地上行エレベーター,改札とホームは同一階,改札とホームは同一階,車いす対応トイレ,相対式,○,2,03-3623-5440
（A-20）押上,エスカレーター,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式2面,○,6,03-3622-5872
